| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       96.31 |    96.65 |  96.48 |        5678 |        5698 |      5488 |
| LOC    |       96.97 |    98.22 |  97.59 |        1630 |        1651 |      1601 |
| MISC   |       88.82 |    90.60 |  89.70 |         745 |         760 |       675 |
| ORG    |       96.45 |    95.32 |  95.88 |        1709 |        1689 |      1629 |
| PER    |       99.06 |    99.31 |  99.19 |        1594 |        1598 |      1583 |

|   Count | Error   | Type   | Tokens                                                                                                                                          |
|---------|---------|--------|-------------------------------------------------------------------------------------------------------------------------------------------------|
|       5 | FP      | LOC    | Tasmania                                                                                                                                        |
|       5 | FP      | MISC   | National Hockey League                                                                                                                          |
|       5 | FN      | ORG    | Tasmania                                                                                                                                        |
|       5 | FN      | ORG    | National Hockey League                                                                                                                          |
|       4 | FN      | ORG    | Barcelona                                                                                                                                       |
|       4 | FN      | MISC   | trans-Atlantic                                                                                                                                  |
|       3 | FP      | MISC   | Wallaby                                                                                                                                         |
|       3 | FP      | PER    | Pope                                                                                                                                            |
|       3 | FN      | MISC   | AMERICAN                                                                                                                                        |
|       3 | FN      | PER    | Charlton                                                                                                                                        |
|       3 | FN      | ORG    | Real Madrid                                                                                                                                     |
|       3 | FN      | ORG    | NFL                                                                                                                                             |
|       3 | FN      | ORG    | NYMEX                                                                                                                                           |
|       3 | FN      | ORG    | Wallaby                                                                                                                                         |
|       2 | FP      | ORG    | Toledo                                                                                                                                          |
|       2 | FP      | LOC    | Victoria                                                                                                                                        |
|       2 | FP      | MISC   | National Football League                                                                                                                        |
|       2 | FP      | MISC   | CUP                                                                                                                                             |
|       2 | FP      | LOC    | Canadian West Coast                                                                                                                             |
|       2 | FP      | LOC    | Austria                                                                                                                                         |
|       2 | FP      | MISC   | World Cup                                                                                                                                       |
|       2 | FP      | LOC    | United States                                                                                                                                   |
|       2 | FP      | MISC   | Barbarians                                                                                                                                      |
|       2 | FP      | MISC   | NFL                                                                                                                                             |
|       2 | FP      | ORG    | ACCESS                                                                                                                                          |
|       2 | FP      | MISC   | finals                                                                                                                                          |
|       2 | FP      | MISC   | Group A                                                                                                                                         |
|       2 | FP      | LOC    | mid-Mississippi                                                                                                                                 |
|       2 | FP      | LOC    | Iowa-S Minn                                                                                                                                     |
|       2 | FP      | MISC   | NYMEX                                                                                                                                           |
|       2 | FP      | MISC   | NHL                                                                                                                                             |
|       2 | FN      | LOC    | Toledo                                                                                                                                          |
|       2 | FN      | MISC   | Moslem                                                                                                                                          |
|       2 | FN      | ORG    | Barbarians                                                                                                                                      |
|       2 | FN      | ORG    | Victoria                                                                                                                                        |
|       2 | FN      | LOC    | Ireland                                                                                                                                         |
|       2 | FN      | MISC   | Canadian                                                                                                                                        |
|       2 | FN      | ORG    | Manitoba                                                                                                                                        |
|       2 | FN      | ORG    | National Football League                                                                                                                        |
|       2 | FN      | ORG    | NHL                                                                                                                                             |
|       2 | FN      | MISC   | mid-Mississippi                                                                                                                                 |
|       2 | FN      | MISC   | ACCESS                                                                                                                                          |
|       2 | FN      | MISC   | Iowa-S Minn                                                                                                                                     |
|       2 | FN      | LOC    | UK                                                                                                                                              |
|       2 | FN      | LOC    | England                                                                                                                                         |
|       1 | FP      | MISC   | Chilean                                                                                                                                         |
|       1 | FP      | ORG    | King Ace                                                                                                                                        |
|       1 | FP      | MISC   | Algerian Moslem                                                                                                                                 |
|       1 | FP      | ORG    | Mines and Energy Ministry                                                                                                                       |
|       1 | FP      | MISC   | Christmas                                                                                                                                       |
|       1 | FP      | ORG    | Myos Yang 5                                                                                                                                     |
|       1 | FP      | MISC   | Zywiec Full Light                                                                                                                               |
|       1 | FP      | PER    | Lord Rama                                                                                                                                       |
|       1 | FP      | MISC   | Northeastern                                                                                                                                    |
|       1 | FP      | LOC    | West Coast                                                                                                                                      |
|       1 | FP      | LOC    | Southwest                                                                                                                                       |
|       1 | FP      | ORG    | Humane Society of the United States                                                                                                             |
|       1 | FP      | MISC   | West                                                                                                                                            |
|       1 | FP      | ORG    | Treasuries                                                                                                                                      |
|       1 | FP      | ORG    | Mana                                                                                                                                            |
|       1 | FP      | ORG    | USDA                                                                                                                                            |
|       1 | FP      | MISC   | Cwt                                                                                                                                             |
|       1 | FP      | ORG    | Conservatives                                                                                                                                   |
|       1 | FP      | LOC    | Sabr                                                                                                                                            |
|       1 | FP      | LOC    | East Coast                                                                                                                                      |
|       1 | FP      | ORG    | Real Madrid Barcelona                                                                                                                           |
|       1 | FP      | MISC   | Dow                                                                                                                                             |
|       1 | FP      | ORG    | Dundee                                                                                                                                          |
|       1 | FP      | ORG    | U.S. Court of Appeals                                                                                                                           |
|       1 | FP      | ORG    | But 2                                                                                                                                           |
|       1 | FP      | LOC    | Switzerland                                                                                                                                     |
|       1 | FP      | PER    | Sun Hong                                                                                                                                        |
|       1 | FP      | MISC   | fact that                                                                                                                                       |
|       1 | FP      | LOC    | New South Wales                                                                                                                                 |
|       1 | FP      | MISC   | Bunds                                                                                                                                           |
|       1 | FP      | MISC   | Fair Play                                                                                                                                       |
|       1 | FP      | MISC   | Basque                                                                                                                                          |
|       1 | FP      | ORG    | Yorkshire                                                                                                                                       |
|       1 | FP      | MISC   | Nazi German                                                                                                                                     |
|       1 | FP      | ORG    | Sangthai Glory                                                                                                                                  |
|       1 | FP      | MISC   | National Basketball Association                                                                                                                 |
|       1 | FP      | PER    | his wife                                                                                                                                        |
|       1 | FP      | LOC    | Czech Republic                                                                                                                                  |
|       1 | FP      | ORG    | Hub                                                                                                                                             |
|       1 | FP      | MISC   | USG                                                                                                                                             |
|       1 | FP      | MISC   | NBA                                                                                                                                             |
|       1 | FP      | LOC    | Midcontinent                                                                                                                                    |
|       1 | FP      | ORG    | Algoa Day                                                                                                                                       |
|       1 | FP      | MISC   | German                                                                                                                                          |
|       1 | FP      | MISC   | ENGLISH                                                                                                                                         |
|       1 | FP      | MISC   | INTERVIEW                                                                                                                                       |
|       1 | FP      | MISC   | European championship                                                                                                                           |
|       1 | FP      | MISC   | Christian-Shi'ite Moslem                                                                                                                        |
|       1 | FP      | MISC   | Belgian Franc                                                                                                                                   |
|       1 | FP      | ORG    | IMC TBN                                                                                                                                         |
|       1 | FP      | MISC   | LPGA Tours                                                                                                                                      |
|       1 | FP      | MISC   | AMERICAN FOOTBALL                                                                                                                               |
|       1 | FP      | MISC   | Viva Italia                                                                                                                                     |
|       1 | FP      | ORG    | Supreme Court                                                                                                                                   |
|       1 | FP      | MISC   | BRAZILIAN                                                                                                                                       |
|       1 | FP      | LOC    | London-to-Boston                                                                                                                                |
|       1 | FP      | MISC   | USA III                                                                                                                                         |
|       1 | FP      | ORG    | Lucky Emdldm                                                                                                                                    |
|       1 | FP      | ORG    | Social Democrats                                                                                                                                |
|       1 | FP      | PER    | " Charlton                                                                                                                                      |
|       1 | FP      | MISC   | Holsteins                                                                                                                                       |
|       1 | FP      | ORG    | UK Department of Transport                                                                                                                      |
|       1 | FP      | MISC   | CAN                                                                                                                                             |
|       1 | FP      | ORG    | United Province                                                                                                                                 |
|       1 | FP      | MISC   | 1988                                                                                                                                            |
|       1 | FP      | MISC   | British                                                                                                                                         |
|       1 | FP      | ORG    | Newmont-Santa Fe                                                                                                                                |
|       1 | FP      | MISC   | Super G                                                                                                                                         |
|       1 | FP      | ORG    | Conservative                                                                                                                                    |
|       1 | FP      | ORG    | the Republic                                                                                                                                    |
|       1 | FP      | PER    | John Mills Jr .                                                                                                                                 |
|       1 | FP      | MISC   | F.A. CUP                                                                                                                                        |
|       1 | FP      | LOC    | managed Ireland                                                                                                                                 |
|       1 | FP      | PER    | honour had been made in recognition of Charlton                                                                                                 |
|       1 | FP      | MISC   | Catholic                                                                                                                                        |
|       1 | FP      | MISC   | their own                                                                                                                                       |
|       1 | FP      | ORG    | Democratic Convention                                                                                                                           |
|       1 | FP      | ORG    | Seagramd ace                                                                                                                                    |
|       1 | FP      | MISC   | English                                                                                                                                         |
|       1 | FP      | LOC    | Ireland                                                                                                                                         |
|       1 | FP      | LOC    | National                                                                                                                                        |
|       1 | FP      | LOC    | gone Indonesia                                                                                                                                  |
|       1 | FP      | LOC    | Manitoba                                                                                                                                        |
|       1 | FP      | MISC   | East / West                                                                                                                                     |
|       1 | FP      | MISC   | SUPER G                                                                                                                                         |
|       1 | FP      | PER    | , Bobby                                                                                                                                         |
|       1 | FP      | PER    | 1996-12-07 Jack Charlton                                                                                                                        |
|       1 | FP      | ORG    | Danila                                                                                                                                          |
|       1 | FP      | ORG    | Lantau Peak                                                                                                                                     |
|       1 | FP      | LOC    | Italy                                                                                                                                           |
|       1 | FP      | MISC   | Jones                                                                                                                                           |
|       1 | FP      | LOC    | Balkan                                                                                                                                          |
|       1 | FP      | MISC   | NCAA AMERICAN                                                                                                                                   |
|       1 | FP      | ORG    | Honda RV                                                                                                                                        |
|       1 | FP      | ORG    | Pontypridd                                                                                                                                      |
|       1 | FP      | ORG    | Ministry                                                                                                                                        |
|       1 | FP      | ORG    | 11th Circuit                                                                                                                                    |
|       1 | FP      | MISC   | 's achievements as the                                                                                                                          |
|       1 | FP      | MISC   | Holstein                                                                                                                                        |
|       1 | FP      | ORG    | Barcelona Barcelona                                                                                                                             |
|       1 | FP      | LOC    | CITY OF HARTFORD                                                                                                                                |
|       1 | FP      | ORG    | John Lewis UK                                                                                                                                   |
|       1 | FP      | ORG    | Business Policy                                                                                                                                 |
|       1 | FP      | MISC   | successive                                                                                                                                      |
|       1 | FP      | MISC   | ADS                                                                                                                                             |
|       1 | FP      | MISC   | U.S. Amateur                                                                                                                                    |
|       1 | FP      | MISC   | CEFTA                                                                                                                                           |
|       1 | FP      | ORG    | Outagmie County Circuit Court                                                                                                                   |
|       1 | FP      | MISC   | Manitoba Government Price Index                                                                                                                 |
|       1 | FP      | LOC    | OAKLAND                                                                                                                                         |
|       1 | FP      | PER    | he                                                                                                                                              |
|       1 | FP      | ORG    | Barcelona 5-1 Draw Real Madrid                                                                                                                  |
|       1 | FP      | ORG    | I.D.E.A .                                                                                                                                       |
|       1 | FP      | LOC    | Santiago Bernabeu                                                                                                                               |
|       1 | FP      | MISC   | PGA                                                                                                                                             |
|       1 | FP      | LOC    | Mesipia                                                                                                                                         |
|       1 | FP      | ORG    | Uttar Pradesh                                                                                                                                   |
|       1 | FP      | LOC    | Lula I                                                                                                                                          |
|       1 | FP      | ORG    | May 15                                                                                                                                          |
|       1 | FP      | ORG    | Camaras Arbitrales                                                                                                                              |
|       1 | FP      | MISC   | NFL AMERICAN                                                                                                                                    |
|       1 | FP      | MISC   | me                                                                                                                                              |
|       1 | FP      | MISC   | Heineken                                                                                                                                        |
|       1 | FP      | PER    | " It was the joy that we all had over the period , that I shared with people that I grew to love , that I treasure most , " he added . Charlton |
|       1 | FP      | ORG    | FC Cologne                                                                                                                                      |
|       1 | FP      | MISC   | F.A. Challenge Cup                                                                                                                              |
|       1 | FP      | MISC   | KCBT                                                                                                                                            |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                                                                                                                              |
|       1 | FP      | ORG    | Leicester                                                                                                                                       |
|       1 | FP      | ORG    | Congress                                                                                                                                        |
|       1 | FP      | MISC   | Group C                                                                                                                                         |
|       1 | FP      | ORG    | Codos                                                                                                                                           |
|       1 | FP      | ORG    | Mercedes                                                                                                                                        |
|       1 | FP      | ORG    | Tong Shun                                                                                                                                       |
