| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       80.54 |    83.33 |  81.91 |         144 |         149 |       120 |
| LOC    |       85.53 |    95.59 |  90.28 |          68 |          76 |        65 |
| MISC   |       76.47 |    43.33 |  55.32 |          30 |          17 |        13 |
| ORG    |       74.55 |    91.11 |  82.00 |          45 |          55 |        41 |
| PER    |      100.00 |   100.00 | 100.00 |           1 |           1 |         1 |

|   Count | Error   | Type   | Tokens                          |
|---------|---------|--------|---------------------------------|
|       2 | FP      | LOC    | Canadian West Coast             |
|       2 | FN      | MISC   | Canadian                        |
|       2 | FN      | ORG    | Manitoba                        |
|       1 | FP      | ORG    | Budisuryana                     |
|       1 | FP      | ORG    | IMC TBN                         |
|       1 | FP      | ORG    | King Ace                        |
|       1 | FP      | ORG    | Danila                          |
|       1 | FP      | ORG    | Tong Shun                       |
|       1 | FP      | ORG    | Mana                            |
|       1 | FP      | ORG    | Lantau Peak                     |
|       1 | FP      | ORG    | Algoa Day                       |
|       1 | FP      | LOC    | Lula I                          |
|       1 | FP      | LOC    | East Coast                      |
|       1 | FP      | ORG    | Lucky Emdldm                    |
|       1 | FP      | MISC   | Manitoba Government Price Index |
|       1 | FP      | LOC    | WESTERN HEMISPHERE              |
|       1 | FP      | LOC    | Manitoba                        |
|       1 | FP      | LOC    | CITY OF HARTFORD                |
|       1 | FP      | LOC    | Iran                            |
|       1 | FP      | LOC    | Mesipia                         |
|       1 | FP      | LOC    | Sabr                            |
|       1 | FP      | LOC    | West Coast                      |
|       1 | FP      | ORG    | Sangthai Glory                  |
|       1 | FP      | MISC   | Cwt                             |
|       1 | FP      | ORG    | Myos Yang 5                     |
|       1 | FP      | ORG    | Seagramd ace                    |
|       1 | FP      | ORG    | But 2                           |
|       1 | FP      | MISC   | USG                             |
|       1 | FP      | ORG    | Camaras Arbitrales              |
|       1 | FP      | MISC   | CAN                             |
|       1 | FN      | MISC   | Sangthai Glory                  |
|       1 | FN      | MISC   | TBN                             |
|       1 | FN      | LOC    | HARTFORD                        |
|       1 | FN      | MISC   | But                             |
|       1 | FN      | MISC   | Myos Yang                       |
|       1 | FN      | LOC    | Lantau Peak                     |
|       1 | FN      | MISC   | Danila                          |
|       1 | FN      | MISC   | Seagramd ace                    |
|       1 | FN      | MISC   | Lula I                          |
|       1 | FN      | MISC   | Budisuryana                     |
|       1 | FN      | ORG    | USG                             |
|       1 | FN      | MISC   | King Ace                        |
|       1 | FN      | MISC   | IMC                             |
|       1 | FN      | LOC    | CAN                             |
|       1 | FN      | MISC   | Tong Shun                       |
|       1 | FN      | MISC   | Algoa Day                       |
|       1 | FN      | MISC   | Lucky Emdldm                    |
|       1 | FN      | MISC   | Mesipia                         |
|       1 | FN      | ORG    | GeePee                          |
|       1 | FN      | MISC   | Iran Sabr                       |
