| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       89.47 |    91.07 |  90.27 |          56 |          57 |        51 |
| LOC    |       97.22 |    94.59 |  95.89 |          37 |          36 |        35 |
| MISC   |       60.00 |    60.00 |  60.00 |           5 |           5 |         3 |
| ORG    |       81.25 |    92.86 |  86.67 |          14 |          16 |        13 |

|   Count | Error   | Type   | Tokens      |
|---------|---------|--------|-------------|
|       2 | FP      | ORG    | Toledo      |
|       2 | FN      | LOC    | Toledo      |
|       1 | FP      | ORG    | USDA        |
|       1 | FP      | LOC    | Iowa-S Minn |
|       1 | FP      | MISC   | Holstein    |
|       1 | FP      | MISC   | Holsteins   |
|       1 | FN      | MISC   | Iowa-S Minn |
|       1 | FN      | ORG    | CBOT        |
|       1 | FN      | MISC   | USDA        |
