| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       97.20 |    97.01 |  97.10 |        5682 |        5671 |      5512 |
| LOC    |       97.22 |    98.41 |  97.81 |        1633 |        1653 |      1607 |
| MISC   |       93.20 |    89.12 |  91.12 |         754 |         721 |       672 |
| ORG    |       97.16 |    96.71 |  96.94 |        1701 |        1693 |      1645 |
| PER    |       99.00 |    99.62 |  99.31 |        1594 |        1604 |      1588 |

|   Count | Error   | Type   | Tokens                                  |
|---------|---------|--------|-----------------------------------------|
|       5 | FP      | MISC   | National Hockey League                  |
|       5 | FN      | ORG    | National Hockey League                  |
|       4 | FN      | MISC   | AMERICAN                                |
|       3 | FN      | ORG    | NFL                                     |
|       3 | FN      | ORG    | NYMEX                                   |
|       2 | FP      | MISC   | World Cup                               |
|       2 | FP      | LOC    | Tasmania                                |
|       2 | FP      | MISC   | National Football League                |
|       2 | FP      | MISC   | GDR                                     |
|       2 | FP      | LOC    | Canadian West Coast                     |
|       2 | FP      | ORG    | ORE                                     |
|       2 | FP      | ORG    | Durum                                   |
|       2 | FP      | LOC    | mid-Mississippi                         |
|       2 | FP      | MISC   | German                                  |
|       2 | FP      | ORG    | Parliament                              |
|       2 | FP      | ORG    | Ministry                                |
|       2 | FP      | LOC    | Italy                                   |
|       2 | FP      | LOC    | Canada                                  |
|       2 | FP      | LOC    | United States                           |
|       2 | FP      | LOC    | Austria                                 |
|       2 | FP      | ORG    | RUGBY UNION                             |
|       2 | FP      | MISC   | CUP                                     |
|       2 | FN      | ORG    | Tasmania                                |
|       2 | FN      | ORG    | National Football League                |
|       2 | FN      | LOC    | UK                                      |
|       2 | FN      | ORG    | Manitoba Pork                           |
|       2 | FN      | ORG    | Manitoba                                |
|       2 | FN      | MISC   | Canadian                                |
|       2 | FN      | MISC   | Moslem                                  |
|       2 | FN      | MISC   | Permian                                 |
|       2 | FN      | MISC   | mid-Mississippi                         |
|       2 | FN      | MISC   | ACCESS                                  |
|       2 | FN      | ORG    | USA III                                 |
|       2 | FN      | MISC   | Italy I                                 |
|       1 | FP      | MISC   | ENGLISH                                 |
|       1 | FP      | MISC   | F.A. CUP                                |
|       1 | FP      | MISC   | F.A. Challenge Cup                      |
|       1 | FP      | MISC   | English                                 |
|       1 | FP      | PER    | REUTER                                  |
|       1 | FP      | MISC   | BRAZILIAN                               |
|       1 | FP      | LOC    | National                                |
|       1 | FP      | LOC    | Indianapolis                            |
|       1 | FP      | LOC    | LA LAKERS                               |
|       1 | FP      | MISC   | CLINCHED DIVISION                       |
|       1 | FP      | ORG    | FC Cologne                              |
|       1 | FP      | ORG    | Schalke                                 |
|       1 | FP      | ORG    | Real Madrid-Barcelona                   |
|       1 | FP      | LOC    | Santiago Bernabeu                       |
|       1 | FP      | ORG    | Mercedes                                |
|       1 | FP      | LOC    | ZULU                                    |
|       1 | FP      | ORG    | Democratic Convention                   |
|       1 | FP      | ORG    | Social Democrats                        |
|       1 | FP      | MISC   | POST-WAR SWISS                          |
|       1 | FP      | MISC   | Nazi German                             |
|       1 | FP      | MISC   | CEFTA                                   |
