| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       97.06 |    96.35 |  96.70 |         685 |         680 |       660 |
| LOC    |       95.11 |    97.22 |  96.15 |         180 |         184 |       175 |
| MISC   |       95.37 |    92.79 |  94.06 |         111 |         108 |       103 |
| ORG    |       95.45 |    91.30 |  93.33 |         138 |         132 |       126 |
| PER    |      100.00 |   100.00 | 100.00 |         256 |         256 |       256 |

|   Count | Error   | Type   | Tokens                    |
|---------|---------|--------|---------------------------|
|       2 | FN      | MISC   | AMERICAN                  |
|       2 | FN      | ORG    | USA III                   |
|       1 | FP      | MISC   | World Cup                 |
|       1 | FP      | LOC    | Indianapolis              |
|       1 | FP      | LOC    | Santiago Bernabeu         |
|       1 | FP      | ORG    | Real Madrid-Barcelona     |
|       1 | FP      | ORG    | Mercedes                  |
|       1 | FP      | MISC   | LPGA Tours                |
|       1 | FP      | MISC   | PGA                       |
|       1 | FP      | MISC   | U.S. Amateur              |
|       1 | FP      | LOC    | USA III                   |
|       1 | FP      | LOC    | USA                       |
|       1 | FP      | LOC    | Italy                     |
|       1 | FP      | LOC    | Canada                    |
|       1 | FP      | LOC    | USA I                     |
|       1 | FP      | ORG    | Uttar Pradesh             |
|       1 | FP      | ORG    | United Province           |
|       1 | FP      | LOC    | India-South Africa        |
|       1 | FP      | ORG    | RUGBY UNION               |
|       1 | FP      | LOC    | Tasmania                  |
|       1 | FP      | MISC   | National Hockey League    |
|       1 | FP      | ORG    | Super Peasants            |
|       1 | FN      | LOC    | AL-AIN                    |
|       1 | FN      | MISC   | 1995 World Cup            |
|       1 | FN      | ORG    | NFL                       |
|       1 | FN      | ORG    | Indianapolis              |
|       1 | FN      | ORG    | NCAA                      |
|       1 | FN      | LOC    | Santiago Bernabeu stadium |
|       1 | FN      | MISC   | Real Madrid-Barcelona     |
|       1 | FN      | MISC   | Mercedes                  |
|       1 | FN      | MISC   | Australia-West Indies     |
|       1 | FN      | ORG    | PGA                       |
|       1 | FN      | ORG    | LPGA                      |
|       1 | FN      | LOC    | U.S.                      |
|       1 | FN      | MISC   | Italy I                   |
|       1 | FN      | ORG    | Canada I                  |
|       1 | FN      | ORG    | USA I                     |
|       1 | FN      | LOC    | Uttar Pradesh             |
|       1 | FN      | LOC    | United Province           |
|       1 | FN      | MISC   | India-South Africa        |
|       1 | FN      | ORG    | Tasmania                  |
|       1 | FN      | ORG    | National Hockey League    |
|       1 | FN      | ORG    | The Super Peasants        |
