| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       92.65 |    94.66 |  93.64 |        2264 |        2313 |      2143 |
| LOC    |       94.88 |    93.45 |  94.16 |         595 |         586 |       556 |
| MISC   |       62.00 |    80.00 |  69.86 |         155 |         200 |       124 |
| ORG    |       93.60 |    94.87 |  94.23 |         878 |         890 |       833 |
| PER    |       98.90 |    99.06 |  98.98 |         636 |         637 |       630 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       5 | FP      | MISC   | League                                    |
|       5 | FP      | MISC   | ALPINE                                    |
|       5 | FN      | ORG    | Barcelona                                 |
|       4 | FP      | MISC   | CUP                                       |
|       4 | FP      | MISC   | National Hockey                           |
|       4 | FP      | MISC   | EASTERN CONFERENCE                        |
|       4 | FP      | MISC   | ATLANTIC DIVISION                         |
|       4 | FP      | MISC   | WESTERN CONFERENCE                        |
|       4 | FP      | MISC   | PACIFIC DIVISION                          |
|       4 | FP      | MISC   | CENTRAL DIVISION                          |
|       4 | FP      | MISC   | SKIING-WOMEN                              |
|       4 | FP      | ORG    | Wimbledon                                 |
|       4 | FN      | ORG    | National Hockey                           |
|       4 | FN      | ORG    | League                                    |
|       4 | FN      | LOC    | ATLANTIC                                  |
|       4 | FN      | LOC    | PACIFIC                                   |
|       4 | FN      | LOC    | Wimbledon                                 |
|       3 | FP      | MISC   | NHL                                       |
|       3 | FN      | MISC   | SKIING-WORLD CUP                          |
|       3 | FN      | ORG    | NHL                                       |
|       3 | FN      | ORG    | Real Madrid                               |
|       2 | FP      | ORG    | Tasmania                                  |
|       2 | FP      | MISC   | NORTHEAST DIVISION                        |
|       2 | FP      | LOC    | NY                                        |
|       2 | FP      | MISC   | MIDWEST DIVISION                          |
|       2 | FP      | MISC   | AMERICAN                                  |
|       2 | FP      | MISC   | EASTERN DIVISION                          |
|       2 | FP      | MISC   | WESTERN DIVISION                          |
|       2 | FP      | ORG    | Real Madrid Barcelona                     |
|       2 | FP      | ORG    | Sporting Gijon                            |
|       2 | FP      | ORG    | New York Commodities Desk                 |
|       2 | FP      | PER    | Florence Masnada                          |
|       2 | FP      | LOC    | United States                             |
|       2 | FP      | LOC    | Austria                                   |
|       2 | FN      | LOC    | Tasmania                                  |
|       2 | FN      | ORG    | Sporting                                  |
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       2 | FN      | ORG    | New York Commodities                      |
|       2 | FN      | PER    | Masnada                                   |
|       2 | FN      | LOC    | Florence                                  |
|       2 | FN      | MISC   | Premier league                            |
|       1 | FP      | ORG    | Victoria                                  |
|       1 | FP      | ORG    | Contractors                               |
|       1 | FP      | ORG    | RANGERS                                   |
|       1 | FP      | MISC   | National Football League                  |
|       1 | FP      | MISC   | AMERICAN FOOTBALL CONFERENCE              |
|       1 | FP      | ORG    | X-DENVER                                  |
|       1 | FP      | MISC   | NATIONAL FOOTBALL CONFERENCE              |
|       1 | FP      | ORG    | Y-GREEN BAY                               |
|       1 | FP      | MISC   | NFL                                       |
|       1 | FP      | MISC   | National Football                         |
|       1 | FP      | ORG    | FC Cologne                                |
|       1 | FP      | PER    | Makelele                                  |
|       1 | FP      | PER    | Starbuck                                  |
|       1 | FP      | ORG    | Karlsruhe                                 |
|       1 | FP      | ORG    | Freiburg                                  |
|       1 | FP      | ORG    | William Hill                              |
|       1 | FP      | ORG    | Barcelona Real Madrid                     |
|       1 | FP      | ORG    | Barcelona Barcelona                       |
|       1 | FP      | ORG    | laPena                                    |
|       1 | FP      | ORG    | Kinder                                    |
|       1 | FP      | MISC   | CST                                       |
|       1 | FP      | MISC   | Manitoba Government Price Index           |
|       1 | FP      | LOC    | Manitoba                                  |
|       1 | FP      | ORG    | CWB                                       |
|       1 | FP      | MISC   | Canadian West Coast                       |
|       1 | FP      | LOC    | Canadian West Coast                       |
|       1 | FP      | LOC    | West Coast                                |
|       1 | FP      | LOC    | East Coast                                |
|       1 | FP      | ORG    | Vancouver                                 |
|       1 | FP      | ORG    | Prince                                    |
|       1 | FP      | PER    | Rupert                                    |
|       1 | FP      | LOC    | 30,000                                    |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                        |
|       1 | FP      | ORG    | Danila                                    |
|       1 | FP      | LOC    | MIDEAST                                   |
|       1 | FP      | ORG    | Thai Resource                             |
|       1 | FP      | LOC    | MEDITERRANEAN                             |
|       1 | FP      | ORG    | Lula I                                    |
|       1 | FP      | ORG    | Spetses                                   |
|       1 | FP      | ORG    | Mesipia                                   |
|       1 | FP      | ORG    | Camaras Arbitrales                        |
|       1 | FP      | ORG    | Buenos Aires Quequen Rosario Bahia Blanca |
|       1 | FP      | ORG    | Flint                                     |
|       1 | FP      | ORG    | Dent                                      |
|       1 | FP      | ORG    | Sunseeds                                  |
|       1 | FP      | MISC   | Est                                       |
|       1 | FP      | ORG    | Steer and Heifer Cow and Bull             |
|       1 | FP      | LOC    | CITY OF HARTFORD                          |
|       1 | FP      | ORG    | USG                                       |
|       1 | FP      | LOC    | 4,000                                     |
|       1 | FP      | LOC    | Lantau Peak                               |
|       1 | FP      | ORG    | Royal Clipper                             |
|       1 | FP      | ORG    | IMC TBN                                   |
|       1 | FP      | ORG    | Thai Commerce Ministry                    |
|       1 | FP      | LOC    | Iran                                      |
|       1 | FP      | MISC   | Sabr                                      |
|       1 | FP      | ORG    | Sangthai Glory                            |
|       1 | FP      | ORG    | Myos Yang                                 |
|       1 | FP      | ORG    | Budisuryana                               |
|       1 | FP      | ORG    | Shun                                      |
|       1 | FP      | MISC   | Tong                                      |
|       1 | FP      | LOC    | Bangkok                                   |
|       1 | FP      | MISC   | 1991 World Championships                  |
|       1 | FP      | MISC   | G                                         |
|       1 | FP      | MISC   | World Cup                                 |
|       1 | FP      | PER    | Ingeborg Helen Markein                    |
|       1 | FP      | LOC    | Austria)118                               |
|       1 | FP      | MISC   | Super G standings                         |
|       1 | FP      | LOC    | Germay                                    |
|       1 | FP      | MISC   | NORDIC                                    |
|       1 | FP      | LOC    | Italy                                     |
|       1 | FP      | LOC    | Canada                                    |
|       1 | FP      | MISC   | German                                    |
|       1 | FP      | LOC    | Switzerland                               |
|       1 | FP      | LOC    | Germany                                   |
|       1 | FP      | LOC    | Czech Republic                            |
|       1 | FP      | LOC    | Britain                                   |
|       1 | FP      | MISC   | JUMPING-LEADING                           |
|       1 | FP      | LOC    | TEMBAU                                    |
|       1 | FP      | LOC    | DENPASAR                                  |
|       1 | FP      | MISC   | SCOTTISH                                  |
|       1 | FP      | MISC   | Scottish                                  |
|       1 | FP      | MISC   | BRITISH                                   |
|       1 | FP      | PER    | Windass                                   |
|       1 | FP      | ORG    | Oxford                                    |
|       1 | FP      | ORG    | Portsmouth                                |
|       1 | FP      | LOC    | BARBARIANS                                |
|       1 | FP      | ORG    | Ironi Rishon                              |
|       1 | FP      | ORG    | ISLANDERS                                 |
|       1 | FP      | ORG    | DALLAS                                    |
|       1 | FP      | ORG    | Philadelphia                              |
|       1 | FP      | ORG    | COLORADO                                  |
|       1 | FP      | ORG    | St Louis                                  |
|       1 | FP      | ORG    | Ottawa                                    |
|       1 | FP      | ORG    | EDMONTON                                  |
|       1 | FN      | LOC    | Victoria                                  |
|       1 | FN      | ORG    | NY RANGERS                                |
|       1 | FN      | ORG    | National Football League                  |
|       1 | FN      | MISC   | AMERICAN                                  |
|       1 | FN      | ORG    | PA                                        |
|       1 | FN      | MISC   | X-DENVER                                  |
|       1 | FN      | MISC   | Y-GREEN BAY                               |
|       1 | FN      | ORG    | NFL                                       |
|       1 | FN      | ORG    | National                                  |
|       1 | FN      | LOC    | Football                                  |
|       1 | FN      | LOC    | League                                    |
|       1 | FN      | ORG    | 1. FC Cologne                             |
|       1 | FN      | PER    | Claude Makelele                           |
|       1 | FN      | LOC    | Karlsruhe                                 |
|       1 | FN      | LOC    | Freiburg                                  |
|       1 | FN      | PER    | William Hill                              |
|       1 | FN      | PER    | laPena                                    |
|       1 | FN      | LOC    | CAN                                       |
|       1 | FN      | LOC    | Vancouver                                 |
|       1 | FN      | LOC    | Prince Rupert                             |
|       1 | FN      | MISC   | Danila                                    |
|       1 | FN      | MISC   | Thai Resource                             |
|       1 | FN      | MISC   | MEDITERRANEAN                             |
|       1 | FN      | MISC   | Lula I                                    |
|       1 | FN      | MISC   | Spetses                                   |
|       1 | FN      | MISC   | Mesipia                                   |
|       1 | FN      | LOC    | Quequen                                   |
|       1 | FN      | LOC    | Bahia Blanca                              |
|       1 | FN      | LOC    | Buenos Aires                              |
|       1 | FN      | LOC    | Rosario                                   |
|       1 | FN      | LOC    | HARTFORD                                  |
|       1 | FN      | MISC   | Lantau Peak                               |
|       1 | FN      | MISC   | Royal Clipper                             |
|       1 | FN      | ORG    | Commerce Ministry                         |
|       1 | FN      | MISC   | Thai                                      |
|       1 | FN      | MISC   | Iran Sabr                                 |
|       1 | FN      | MISC   | Sangthai Glory                            |
|       1 | FN      | MISC   | Myos Yang                                 |
|       1 | FN      | MISC   | Budisuryana                               |
|       1 | FN      | MISC   | Tong Shun                                 |
|       1 | FN      | MISC   | Bangkok                                   |
|       1 | FN      | MISC   | World Championships                       |
|       1 | FN      | MISC   | 1993 World Cup                            |
|       1 | FN      | PER    | Ingeborg Helen                            |
|       1 | FN      | MISC   | Super G                                   |
|       1 | FN      | MISC   | BOBSLEIGH-WORLD CUP                       |
|       1 | FN      | ORG    | United States III                         |
|       1 | FN      | ORG    | Italy I                                   |
|       1 | FN      | ORG    | Canada I                                  |
|       1 | FN      | ORG    | German I                                  |
|       1 | FN      | ORG    | Switzerland I                             |
|       1 | FN      | ORG    | Germany III                               |
|       1 | FN      | ORG    | Czech Republic I                          |
|       1 | FN      | ORG    | Austria I                                 |
|       1 | FN      | ORG    | Britain I                                 |
|       1 | FN      | ORG    | United States I                           |
|       1 | FN      | ORG    | Austria III                               |
|       1 | FN      | LOC    | TEMBAU DENPASAR                           |
|       1 | FN      | MISC   | SCOTTISH PREMIER DIVISION                 |
|       1 | FN      | MISC   | Scottish premier                          |
|       1 | FN      | LOC    | Oxford                                    |
|       1 | FN      | LOC    | Portsmouth                                |
|       1 | FN      | ORG    | BARBARIANS                                |
|       1 | FN      | ORG    | Ironi Rishon Lezion                       |
|       1 | FN      | LOC    | NY ISLANDERS                              |
|       1 | FN      | LOC    | DALLAS                                    |
|       1 | FN      | LOC    | Philadelphia                              |
|       1 | FN      | LOC    | COLORADO                                  |
|       1 | FN      | LOC    | St Louis                                  |
|       1 | FN      | LOC    | Ottawa                                    |
|       1 | FN      | LOC    | EDMONTON                                  |
