| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       86.37 |    89.02 |  87.68 |        1011 |        1042 |       900 |
| LOC    |       91.26 |    91.73 |  91.49 |         387 |         389 |       355 |
| MISC   |       78.72 |    69.37 |  73.75 |         160 |         141 |       111 |
| ORG    |       82.68 |    94.43 |  88.17 |         359 |         410 |       339 |
| PER    |       93.14 |    90.48 |  91.79 |         105 |         102 |        95 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       4 | FP      | ORG    | BILO                                      |
|       4 | FN      | MISC   | BILO                                      |
|       3 | FP      | PER    | van Boxmeer                               |
|       3 | FP      | MISC   | Czech                                     |
|       3 | FP      | MISC   | Select                                    |
|       3 | FP      | ORG    | Chicago                                   |
|       3 | FN      | PER    | Boxmeer                                   |
|       3 | FN      | LOC    | Czech                                     |
|       3 | FN      | LOC    | St. Louis                                 |
|       3 | FN      | LOC    | Chicago                                   |
|       2 | FP      | MISC   | One Global Depository Receipt             |
|       2 | FP      | LOC    | Med                                       |
|       2 | FP      | ORG    | New York Commodities Desk                 |
|       2 | FP      | LOC    | Busang                                    |
|       2 | FP      | ORG    | Congress                                  |
|       2 | FP      | LOC    | Iowa-S Minn                               |
|       2 | FP      | LOC    | mid-Mississippi                           |
|       2 | FP      | ORG    | St. Louis                                 |
|       2 | FP      | ORG    | Toledo                                    |
|       2 | FP      | MISC   | Choice                                    |
|       2 | FP      | ORG    | Ministry                                  |
|       2 | FP      | ORG    | TOPS                                      |
|       2 | FN      | MISC   | German                                    |
|       2 | FN      | ORG    | Zywiec                                    |
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       2 | FN      | ORG    | New York Commodities                      |
|       2 | FN      | ORG    | Busang                                    |
|       2 | FN      | LOC    | Iowa-S                                    |
|       2 | FN      | LOC    | Minn                                      |
|       2 | FN      | ORG    | NYMEX                                     |
|       2 | FN      | MISC   | Permian                                   |
|       2 | FN      | MISC   | mid-Mississippi                           |
|       2 | FN      | LOC    | Toledo                                    |
|       2 | FN      | MISC   | ACCESS                                    |
|       2 | FN      | MISC   | TOPS                                      |
|       1 | FP      | MISC   | Polish Jews                               |
|       1 | FP      | MISC   | Nazi German                               |
|       1 | FP      | MISC   | CEFTA                                     |
|       1 | FP      | PER    | Zywiec                                    |
|       1 | FP      | MISC   | Zywiec Full Light                         |
|       1 | FP      | ORG    | UK Department of Transport                |
|       1 | FP      | ORG    | ADS                                       |
|       1 | FP      | LOC    | Heathrow                                  |
|       1 | FP      | LOC    | London                                    |
|       1 | FP      | LOC    | London-to-Boston                          |
|       1 | FP      | MISC   | Mediterranean                             |
|       1 | FP      | ORG    | Med                                       |
|       1 | FP      | MISC   | Private Finance Initiative                |
|       1 | FP      | MISC   | CST                                       |
|       1 | FP      | MISC   | Manitoba Government Price Index           |
|       1 | FP      | LOC    | Manitoba                                  |
|       1 | FP      | MISC   | Canadian West Coast                       |
|       1 | FP      | ORG    | CWB                                       |
|       1 | FP      | LOC    | Canadian West Coast                       |
|       1 | FP      | LOC    | West Coast                                |
|       1 | FP      | LOC    | East Coast                                |
|       1 | FP      | ORG    | Vancouver                                 |
|       1 | FP      | PER    | Rupert                                    |
|       1 | FP      | ORG    | Prince                                    |
|       1 | FP      | LOC    | 30,000                                    |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                        |
|       1 | FP      | ORG    | Danila                                    |
|       1 | FP      | LOC    | MIDEAST                                   |
|       1 | FP      | ORG    | Thai Resource                             |
|       1 | FP      | LOC    | MEDITERRANEAN                             |
|       1 | FP      | ORG    | Lula I                                    |
|       1 | FP      | ORG    | Spetses                                   |
|       1 | FP      | ORG    | Mesipia                                   |
|       1 | FP      | ORG    | NYC                                       |
|       1 | FP      | ORG    | Santa Fe                                  |
|       1 | FP      | PER    | Russ Berrie                               |
|       1 | FP      | LOC    | Far North                                 |
|       1 | FP      | ORG    | Budapest Bank                             |
|       1 | FP      | ORG    | ADRs                                      |
|       1 | FP      | ORG    | Santander                                 |
|       1 | FP      | ORG    | Camaras Arbitrales                        |
|       1 | FP      | ORG    | Buenos Aires Quequen Rosario Bahia Blanca |
|       1 | FP      | ORG    | Flint                                     |
