| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       95.04 |    95.86 |  95.45 |         580 |         585 |       556 |
| LOC    |       94.44 |    90.07 |  92.20 |         151 |         144 |       136 |
| MISC   |       90.14 |    98.46 |  94.12 |          65 |          71 |        64 |
| ORG    |       88.50 |    93.46 |  90.91 |         107 |         113 |       100 |
| PER    |       99.61 |    99.61 |  99.61 |         257 |         257 |       256 |

|   Count | Error   | Type   | Tokens                   |
|---------|---------|--------|--------------------------|
|       3 | FP      | MISC   | Select                   |
|       3 | FP      | ORG    | Chicago                  |
|       3 | FN      | LOC    | Chicago                  |
|       2 | FP      | ORG    | St. Louis                |
|       2 | FP      | ORG    | Toledo                   |
|       2 | FP      | MISC   | Choice                   |
|       2 | FP      | LOC    | Victoria                 |
|       2 | FP      | LOC    | Tasmania                 |
|       2 | FN      | LOC    | St. Louis                |
|       2 | FN      | LOC    | Toledo                   |
|       2 | FN      | ORG    | Tasmania                 |
|       2 | FN      | ORG    | Victoria                 |
|       1 | FP      | LOC    | CAMPESE                  |
|       1 | FP      | ORG    | Twickenham               |
|       1 | FP      | ORG    | Leicester                |
|       1 | FP      | ORG    | Pontypridd               |
|       1 | FP      | PER    | REUTER                   |
|       1 | FP      | LOC    | Melbourne Cricket Ground |
|       1 | FP      | LOC    | Salamanca                |
|       1 | FP      | MISC   | Czech                    |
|       1 | FP      | ORG    | Select and Choice        |
|       1 | FP      | ORG    | Slaughter Heifers        |
|       1 | FP      | LOC    | Iowa-S Minn              |
|       1 | FP      | ORG    | Minneapolis              |
|       1 | FP      | MISC   | Cup                      |
|       1 | FN      | PER    | CAMPESE                  |
|       1 | FN      | LOC    | Twickenham               |
|       1 | FN      | LOC    | Leicester                |
|       1 | FN      | LOC    | Pontypridd               |
|       1 | FN      | ORG    | REUTER                   |
|       1 | FN      | LOC    | Melbourne                |
|       1 | FN      | ORG    | Salamanca                |
|       1 | FN      | LOC    | Czech                    |
|       1 | FN      | LOC    | Iowa-S                   |
|       1 | FN      | LOC    | Minn                     |
|       1 | FN      | ORG    | CBOT                     |
|       1 | FN      | LOC    | Minneapolis              |
|       1 | FN      | MISC   | Saturday'sWorld Cup      |
