| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       94.46 |    95.88 |  95.17 |        3327 |        3377 |      3190 |
| LOC    |       96.00 |    94.84 |  95.42 |         834 |         824 |       791 |
| MISC   |       72.98 |    91.61 |  81.24 |         286 |         359 |       262 |
| ORG    |       95.52 |    94.43 |  94.97 |        1060 |        1048 |      1001 |
| PER    |       99.13 |    99.04 |  99.08 |        1147 |        1146 |      1136 |

|   Count | Error   | Type   | Tokens                          |
|---------|---------|--------|---------------------------------|
|       6 | FP      | MISC   | ALPINE                          |
|       5 | FP      | MISC   | League                          |
|       5 | FN      | ORG    | Barcelona                       |
|       4 | FP      | MISC   | CUP                             |
|       4 | FP      | MISC   | NHL                             |
|       4 | FP      | MISC   | National Hockey                 |
|       4 | FP      | MISC   | EASTERN CONFERENCE              |
|       4 | FP      | MISC   | ATLANTIC DIVISION               |
|       4 | FP      | MISC   | WESTERN CONFERENCE              |
|       4 | FP      | MISC   | PACIFIC DIVISION                |
|       4 | FP      | MISC   | CENTRAL DIVISION                |
|       4 | FP      | MISC   | SKIING-WOMEN                    |
|       4 | FP      | ORG    | Wimbledon                       |
|       4 | FN      | ORG    | NHL                             |
|       4 | FN      | ORG    | National Hockey                 |
|       4 | FN      | ORG    | League                          |
|       4 | FN      | LOC    | ATLANTIC                        |
|       4 | FN      | LOC    | PACIFIC                         |
|       4 | FN      | LOC    | Wimbledon                       |
|       3 | FP      | MISC   | World Cup                       |
|       3 | FP      | MISC   | AMERICAN                        |
|       3 | FP      | ORG    | Philadelphia                    |
|       3 | FP      | LOC    | Tasmania                        |
|       3 | FN      | MISC   | SKIING-WORLD CUP                |
|       3 | FN      | LOC    | Philadelphia                    |
|       3 | FN      | ORG    | Real Madrid                     |
|       3 | FN      | ORG    | Tasmania                        |
|       2 | FP      | ORG    | Tasmania                        |
|       2 | FP      | ORG    | Victoria                        |
|       2 | FP      | MISC   | NORTHEAST DIVISION              |
|       2 | FP      | LOC    | NY                              |
|       2 | FP      | MISC   | NFC                             |
|       2 | FP      | MISC   | MIDWEST DIVISION                |
|       2 | FP      | MISC   | EASTERN DIVISION                |
|       2 | FP      | MISC   | WESTERN DIVISION                |
|       2 | FP      | ORG    | Real Madrid Barcelona           |
|       2 | FP      | ORG    | Sporting Gijon                  |
|       2 | FP      | PER    | Florence Masnada                |
|       2 | FP      | LOC    | Canada                          |
|       2 | FP      | LOC    | United States                   |
|       2 | FP      | LOC    | Austria                         |
|       2 | FP      | LOC    | Victoria                        |
|       2 | FN      | LOC    | Victoria                        |
|       2 | FN      | LOC    | Tasmania                        |
|       2 | FN      | ORG    | Sporting                        |
|       2 | FN      | PER    | Masnada                         |
|       2 | FN      | LOC    | Florence                        |
|       2 | FN      | ORG    | Canada I                        |
|       2 | FN      | MISC   | Premier league                  |
