| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       92.60 |    94.15 |  93.37 |        2804 |        2851 |      2640 |
| LOC    |       94.53 |    95.66 |  95.09 |         922 |         933 |       882 |
| MISC   |       85.95 |    87.55 |  86.74 |         482 |         491 |       422 |
| ORG    |       89.76 |    94.67 |  92.15 |         676 |         713 |       640 |
| PER    |       97.48 |    96.13 |  96.80 |         724 |         714 |       696 |

|   Count | Error   | Type   | Tokens                               |
|---------|---------|--------|--------------------------------------|
|      11 | FP      | MISC   | Czech                                |
|      11 | FN      | LOC    | Czech                                |
|       4 | FP      | ORG    | BILO                                 |
|       4 | FN      | MISC   | BILO                                 |
|       3 | FP      | PER    | van Boxmeer                          |
|       3 | FP      | PER    | Pope                                 |
|       3 | FP      | MISC   | EST                                  |
|       3 | FN      | PER    | Boxmeer                              |
|       2 | FP      | MISC   | World Cup                            |
|       2 | FP      | ORG    | Philadelphia                         |
|       2 | FP      | MISC   | NFC                                  |
|       2 | FP      | MISC   | One Global Depository Receipt        |
|       2 | FP      | LOC    | Med                                  |
|       2 | FP      | LOC    | Busang                               |
|       2 | FP      | ORG    | Congress                             |
|       2 | FP      | LOC    | Jordan                               |
|       2 | FP      | LOC    | West                                 |
|       2 | FP      | LOC    | mid-Mississippi                      |
|       2 | FP      | ORG    | William Hill                         |
|       2 | FP      | ORG    | Pan American                         |
|       2 | FP      | LOC    | Antwerp                              |
|       2 | FP      | ORG    | First                                |
|       2 | FP      | LOC    | NZ                                   |
|       2 | FP      | LOC    | Fraser                               |
|       2 | FP      | ORG    | Ministry                             |
|       2 | FP      | ORG    | TOPS                                 |
|       2 | FN      | LOC    | Philadelphia                         |
|       2 | FN      | MISC   | German                               |
|       2 | FN      | ORG    | Zywiec                               |
|       2 | FN      | ORG    | Busang                               |
|       2 | FN      | PER    | Jordan                               |
|       2 | FN      | MISC   | Moslem                               |
|       2 | FN      | ORG    | NYMEX                                |
|       2 | FN      | MISC   | Permian                              |
|       2 | FN      | MISC   | mid-Mississippi                      |
|       2 | FN      | PER    | William Hill                         |
|       2 | FN      | MISC   | ACCESS                               |
|       2 | FN      | MISC   | Pan American                         |
|       2 | FN      | ORG    | Antwerp                              |
|       2 | FN      | ORG    | NZ First                             |
|       2 | FN      | PER    | Fraser                               |
|       2 | FN      | MISC   | TOPS                                 |
|       1 | FP      | LOC    | CHINA                                |
|       1 | FP      | ORG    | Bitar                                |
|       1 | FP      | ORG    | Yorkshire                            |
|       1 | FP      | MISC   | AUSTRALIAN TOUR                      |
|       1 | FP      | MISC   | Tour                                 |
|       1 | FP      | MISC   | AMERICAN                             |
|       1 | FP      | MISC   | AFC                                  |
|       1 | FP      | ORG    | Indianapolis                         |
|       1 | FP      | MISC   | NFC East                             |
|       1 | FP      | LOC    | STATE                                |
|       1 | FP      | MISC   | AMERICAN FOOTBALL-OHIO               |
|       1 | FP      | ORG    | Rotary Club of Houston               |
