| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       93.91 |    95.34 |  94.62 |        1310 |        1330 |      1249 |
| LOC    |       95.11 |    95.75 |  95.43 |         447 |         450 |       428 |
| MISC   |       90.46 |    92.58 |  91.51 |         256 |         262 |       237 |
| ORG    |       90.31 |    96.28 |  93.20 |         242 |         258 |       233 |
| PER    |       97.50 |    96.16 |  96.83 |         365 |         360 |       351 |

|   Count | Error   | Type   | Tokens                              |
|---------|---------|--------|-------------------------------------|
|       8 | FP      | MISC   | Czech                               |
|       8 | FN      | LOC    | Czech                               |
|       3 | FP      | PER    | Pope                                |
|       3 | FP      | MISC   | EST                                 |
|       2 | FP      | LOC    | Jordan                              |
|       2 | FP      | ORG    | William Hill                        |
|       2 | FP      | ORG    | Pan American                        |
|       2 | FP      | LOC    | Antwerp                             |
|       2 | FP      | LOC    | NZ                                  |
|       2 | FP      | ORG    | First                               |
|       2 | FP      | LOC    | Fraser                              |
|       2 | FN      | PER    | Jordan                              |
|       2 | FN      | MISC   | Moslem                              |
|       2 | FN      | PER    | William Hill                        |
|       2 | FN      | MISC   | Pan American                        |
|       2 | FN      | ORG    | Antwerp                             |
|       2 | FN      | ORG    | NZ First                            |
|       2 | FN      | PER    | Fraser                              |
|       1 | FP      | LOC    | S.AFRICA                            |
|       1 | FP      | LOC    | DURBAN                              |
|       1 | FP      | ORG    | Democratic Convention               |
|       1 | FP      | ORG    | Social Democrats                    |
|       1 | FP      | MISC   | Chapter Seven                       |
|       1 | FP      | MISC   | Chapter                             |
|       1 | FP      | LOC    | Masisi                              |
|       1 | FP      | LOC    | Baya                                |
|       1 | FP      | LOC    | Patasse                             |
|       1 | FP      | MISC   | Mutineers                           |
|       1 | FP      | MISC   | Polish-born                         |
|       1 | FP      | PER    | Pope John Paul                      |
|       1 | FP      | MISC   | Ottoman Turkish                     |
|       1 | FP      | PER    | Hansenne                            |
|       1 | FP      | PER    | Haitham Haddadin                    |
|       1 | FP      | MISC   | Christian-Shi'ite Moslem            |
|       1 | FP      | PER    | John Mills Jr                       |
|       1 | FP      | ORG    | 11th Circuit U.S. Court of Appeals  |
|       1 | FP      | ORG    | County Circuit Court                |
|       1 | FP      | LOC    | Outagmie                            |
|       1 | FP      | PER    | Luebke                              |
|       1 | FP      | ORG    | Humane Society of the United States |
|       1 | FP      | LOC    | Glencoe Animal Hospital             |
|       1 | FP      | MISC   | German                              |
|       1 | FP      | MISC   | Fascist                             |
|       1 | FP      | ORG    | RAI                                 |
|       1 | FP      | LOC    | Babri                               |
|       1 | FP      | ORG    | Exchequer                           |
|       1 | FP      | PER    | Arafat-Netanyahu                    |
|       1 | FP      | MISC   | Western                             |
|       1 | FP      | ORG    | Consumer Project on Technology      |
|       1 | FP      | MISC   | Net                                 |
