| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       95.65 |    96.30 |  95.97 |        5682 |        5721 |      5472 |
| LOC    |       95.57 |    97.67 |  96.61 |        1633 |        1669 |      1595 |
| MISC   |       89.89 |    88.46 |  89.17 |         754 |         742 |       667 |
| ORG    |       94.87 |    95.65 |  95.26 |        1701 |        1715 |      1627 |
| PER    |       99.25 |    99.31 |  99.28 |        1594 |        1595 |      1583 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       7 | FP      | LOC    | ALPINE                                    |
|       5 | FP      | MISC   | National Hockey League                    |
|       5 | FN      | ORG    | National Hockey League                    |
|       5 | FN      | ORG    | Barcelona                                 |
|       4 | FP      | MISC   | NHL                                       |
|       4 | FP      | LOC    | Victoria                                  |
|       4 | FN      | ORG    | NHL                                       |
|       4 | FN      | ORG    | Victoria                                  |
|       3 | FP      | MISC   | World Cup                                 |
|       3 | FP      | PER    | Pope                                      |
|       3 | FP      | MISC   | EST                                       |
|       3 | FP      | MISC   | Select                                    |
|       3 | FP      | ORG    | Chicago                                   |
|       3 | FP      | LOC    | Tasmania                                  |
|       3 | FN      | ORG    | Real Madrid                               |
|       3 | FN      | LOC    | Chicago                                   |
|       3 | FN      | ORG    | Tasmania                                  |
|       2 | FP      | LOC    | NY                                        |
|       2 | FP      | MISC   | National Football League                  |
|       2 | FP      | ORG    | Real Madrid Barcelona                     |
|       2 | FP      | MISC   | One Global Depository Receipt             |
|       2 | FP      | LOC    | Jordan                                    |
|       2 | FP      | LOC    | Iowa-S Minn                               |
|       2 | FP      | LOC    | mid-Mississippi                           |
|       2 | FP      | ORG    | St. Louis                                 |
|       2 | FP      | ORG    | Toledo                                    |
|       2 | FP      | MISC   | German                                    |
|       2 | FP      | MISC   | Choice                                    |
|       2 | FP      | LOC    | NZ                                        |
|       2 | FP      | ORG    | First                                     |
|       2 | FP      | ORG    | Ministry                                  |
|       2 | FP      | ORG    | Busang                                    |
|       2 | FP      | LOC    | Italy                                     |
|       2 | FP      | LOC    | Canada                                    |
|       2 | FP      | LOC    | United States                             |
|       2 | FP      | LOC    | Austria                                   |
|       2 | FP      | ORG    | RUGBY UNION                               |
|       2 | FP      | ORG    | Ironi Rishon                              |
|       2 | FN      | ORG    | National Football League                  |
|       2 | FN      | MISC   | German                                    |
|       2 | FN      | ORG    | Zywiec                                    |
|       2 | FN      | LOC    | UK                                        |
|       2 | FN      | LOC    | Med                                       |
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       2 | FN      | PER    | Jordan                                    |
|       2 | FN      | MISC   | Moslem                                    |
|       2 | FN      | MISC   | Iowa-S Minn                               |
|       2 | FN      | ORG    | NYMEX                                     |
|       2 | FN      | MISC   | Permian                                   |
|       2 | FN      | MISC   | mid-Mississippi                           |
|       2 | FN      | LOC    | St. Louis                                 |
|       2 | FN      | LOC    | Toledo                                    |
|       2 | FN      | MISC   | ACCESS                                    |
|       2 | FN      | ORG    | NZ First                                  |
|       2 | FN      | LOC    | Busang                                    |
|       2 | FN      | MISC   | WORLD CUP                                 |
|       2 | FN      | MISC   | Italy I                                   |
|       2 | FN      | ORG    | Ironi Rishon Lezion                       |
|       1 | FP      | ORG    | Bitar                                     |
|       1 | FP      | ORG    | Yorkshire                                 |
|       1 | FP      | LOC    | CAMPESE                                   |
|       1 | FP      | ORG    | Twickenham                                |
|       1 | FP      | ORG    | Pontypridd                                |
|       1 | FP      | ORG    | Leicester                                 |
|       1 | FP      | PER    | REUTER                                    |
|       1 | FP      | MISC   | BRAZILIAN                                 |
|       1 | FP      | MISC   | AUSTRALIAN TOUR                           |
|       1 | FP      | MISC   | Tour                                      |
|       1 | FP      | MISC   | ARAB                                      |
|       1 | FP      | ORG    | RANGERS                                   |
|       1 | FP      | LOC    | LA LAKERS                                 |
|       1 | FP      | MISC   | NFL AMERICAN                              |
|       1 | FP      | LOC    | Nebraska                                  |
|       1 | FP      | ORG    | FC Cologne                                |
|       1 | FP      | PER    | Makelele                                  |
|       1 | FP      | ORG    | Dundee                                    |
|       1 | FP      | LOC    | Salamanca                                 |
|       1 | FP      | ORG    | Barcelona Real Madrid                     |
|       1 | FP      | ORG    | Barcelona Barcelona                       |
|       1 | FP      | ORG    | Real Madrid-Barcelona                     |
|       1 | FP      | LOC    | Santiago Bernabeu                         |
|       1 | FP      | MISC   | UNCAPPED                                  |
|       1 | FP      | MISC   | Fair Play                                 |
|       1 | FP      | ORG    | Mercedes                                  |
|       1 | FP      | ORG    | Democratic Convention                     |
|       1 | FP      | ORG    | Social Democrats                          |
|       1 | FP      | MISC   | Polish Jews                               |
|       1 | FP      | MISC   | Nazi German                               |
|       1 | FP      | MISC   | INTERVIEW                                 |
|       1 | FP      | MISC   | CEFTA                                     |
|       1 | FP      | PER    | Zywiec                                    |
|       1 | FP      | MISC   | Zywiec Full Light                         |
|       1 | FP      | ORG    | UK Department of Transport                |
|       1 | FP      | ORG    | ADS                                       |
|       1 | FP      | LOC    | Heathrow                                  |
|       1 | FP      | LOC    | London                                    |
|       1 | FP      | LOC    | London-to-Boston                          |
|       1 | FP      | MISC   | Mediterranean                             |
|       1 | FP      | ORG    | Genoa                                     |
|       1 | FP      | ORG    | Med                                       |
|       1 | FP      | ORG    | Conservatives                             |
|       1 | FP      | MISC   | CST                                       |
|       1 | FP      | MISC   | Manitoba Government Price Index           |
|       1 | FP      | LOC    | Manitoba                                  |
|       1 | FP      | MISC   | Canadian West Coast                       |
|       1 | FP      | LOC    | Canadian West Coast                       |
|       1 | FP      | LOC    | West Coast                                |
|       1 | FP      | LOC    | East Coast                                |
|       1 | FP      | ORG    | Vancouver                                 |
|       1 | FP      | ORG    | Prince                                    |
|       1 | FP      | PER    | Rupert                                    |
|       1 | FP      | LOC    | 30,000                                    |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                        |
|       1 | FP      | ORG    | Danila                                    |
|       1 | FP      | ORG    | Lula I                                    |
|       1 | FP      | ORG    | Spetses                                   |
|       1 | FP      | ORG    | Mesipia                                   |
|       1 | FP      | ORG    | NYC                                       |
|       1 | FP      | LOC    | Santa Fe                                  |
|       1 | FP      | PER    | Russ Berrie                               |
|       1 | FP      | MISC   | Chapter                                   |
|       1 | FP      | LOC    | Baya                                      |
|       1 | FP      | LOC    | Patasse                                   |
|       1 | FP      | MISC   | Mutineers                                 |
|       1 | FP      | PER    | Pope John Paul                            |
|       1 | FP      | MISC   | Dow                                       |
|       1 | FP      | MISC   | Jones                                     |
|       1 | FP      | ORG    | ADRs                                      |
|       1 | FP      | ORG    | Camaras Arbitrales                        |
|       1 | FP      | ORG    | Buenos Aires Quequen Rosario Bahia Blanca |
|       1 | FP      | ORG    | Flint                                     |
|       1 | FP      | ORG    | Dent                                      |
|       1 | FP      | ORG    | Sunseeds                                  |
|       1 | FP      | MISC   | Chilean                                   |
|       1 | FP      | ORG    | Congress                                  |
|       1 | FP      | MISC   | Sakakibara                                |
|       1 | FP      | PER    | Mr Yen                                    |
|       1 | FP      | MISC   | Christian-Shi'ite Moslem                  |
|       1 | FP      | ORG    | Slaughter Heifers                         |
|       1 | FP      | ORG    | Select and Choice                         |
|       1 | FP      | MISC   | Est                                       |
|       1 | FP      | ORG    | Steer and Heifer Cow and Bull             |
|       1 | FP      | LOC    | CITY OF HARTFORD                          |
|       1 | FP      | LOC    | 4,000                                     |
|       1 | FP      | ORG    | USDA                                      |
|       1 | FP      | LOC    | Outagmie                                  |
|       1 | FP      | ORG    | County Circuit Court                      |
|       1 | FP      | ORG    | NYMEX Henry Hub                           |
|       1 | FP      | LOC    | Midcontinent                              |
|       1 | FP      | LOC    | Permian                                   |
|       1 | FP      | ORG    | Permian                                   |
|       1 | FP      | LOC    | East                                      |
|       1 | FP      | LOC    | West                                      |
|       1 | FP      | LOC    | Southwest                                 |
|       1 | FP      | ORG    | Minneapolis                               |
|       1 | FP      | ORG    | Humane Society of the United States       |
|       1 | FP      | LOC    | Glencoe Animal Hospital                   |
|       1 | FP      | MISC   | Basque                                    |
|       1 | FP      | MISC   | Fascist                                   |
|       1 | FP      | LOC    | Babri                                     |
|       1 | FP      | MISC   | Christmas                                 |
|       1 | FP      | ORG    | Royal Clipper                             |
|       1 | FP      | ORG    | IMC TBN                                   |
|       1 | FP      | ORG    | Treasuries                                |
|       1 | FP      | MISC   | German Bunds                              |
|       1 | FP      | ORG    | Arabian Light                             |
|       1 | FP      | ORG    | Isthmus                                   |
|       1 | FP      | ORG    | Tia Juana                                 |
|       1 | FP      | ORG    | Blend                                     |
|       1 | FP      | ORG    | Minas                                     |
|       1 | FP      | MISC   | Saharan                                   |
|       1 | FP      | ORG    | Bonny Light                               |
|       1 | FP      | ORG    | Exchequer                                 |
|       1 | FP      | PER    | Arafat-Netanyahu                          |
|       1 | FP      | MISC   | Northeastern                              |
|       1 | FP      | ORG    | NYMEX ACCESS                              |
|       1 | FP      | MISC   | Algerian Moslem                           |
|       1 | FP      | LOC    | Viva Italia                               |
|       1 | FP      | ORG    | John Lewis UK                             |
|       1 | FP      | ORG    | Newsnight                                 |
|       1 | FP      | MISC   | Pro-European Conservative                 |
|       1 | FP      | ORG    | National and                              |
|       1 | FP      | ORG    | Nat , Lab                                 |
|       1 | FP      | ORG    | Thai Commerce Ministry                    |
|       1 | FP      | LOC    | Iran                                      |
|       1 | FP      | MISC   | Sabr                                      |
|       1 | FP      | MISC   | Seagramd                                  |
|       1 | FP      | ORG    | Sangthai Glory                            |
|       1 | FP      | ORG    | Myos Yang                                 |
|       1 | FP      | ORG    | Budisuryana                               |
|       1 | FP      | ORG    | Shun                                      |
|       1 | FP      | MISC   | Tong                                      |
|       1 | FP      | ORG    | Port Office                               |
|       1 | FP      | ORG    | Mines and Energy Ministry                 |
|       1 | FP      | MISC   | Indonesian                                |
|       1 | FP      | ORG    | Business Policy                           |
|       1 | FP      | ORG    | wise                                      |
|       1 | FP      | MISC   | G                                         |
|       1 | FP      | MISC   | 1991 World Championships                  |
|       1 | FP      | MISC   | WORLD CUP SUPER G                         |
|       1 | FP      | MISC   | Super G                                   |
