| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       96.19 |    96.74 |  96.46 |        2268 |        2281 |      2194 |
| LOC    |       95.08 |    98.25 |  96.64 |         571 |         590 |       561 |
| MISC   |       85.87 |    84.49 |  85.18 |         187 |         184 |       158 |
| ORG    |       96.61 |    96.28 |  96.44 |         887 |         884 |       854 |
| PER    |       99.68 |    99.68 |  99.68 |         623 |         623 |       621 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       5 | FN      | ORG    | Barcelona                                 |
|       4 | FP      | MISC   | National Hockey League                    |
|       4 | FP      | LOC    | ALPINE                                    |
|       4 | FN      | ORG    | National Hockey League                    |
|       3 | FP      | MISC   | NHL                                       |
|       3 | FN      | ORG    | NHL                                       |
|       3 | FN      | ORG    | Real Madrid                               |
|       2 | FP      | LOC    | NY                                        |
|       2 | FP      | MISC   | National Football League                  |
|       2 | FP      | ORG    | Real Madrid Barcelona                     |
|       2 | FP      | LOC    | United States                             |
|       2 | FP      | LOC    | Austria                                   |
|       2 | FP      | ORG    | Ironi Rishon                              |
|       2 | FN      | ORG    | National Football League                  |
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       2 | FN      | ORG    | Ironi Rishon Lezion                       |
|       1 | FP      | MISC   | BRAZILIAN                                 |
|       1 | FP      | MISC   | ARAB                                      |
|       1 | FP      | ORG    | RANGERS                                   |
|       1 | FP      | LOC    | LA LAKERS                                 |
|       1 | FP      | MISC   | NFL AMERICAN                              |
|       1 | FP      | ORG    | FC Cologne                                |
|       1 | FP      | PER    | Makelele                                  |
|       1 | FP      | ORG    | Dundee                                    |
|       1 | FP      | ORG    | Barcelona Real Madrid                     |
|       1 | FP      | ORG    | Barcelona Barcelona                       |
|       1 | FP      | MISC   | CST                                       |
|       1 | FP      | MISC   | Manitoba Government Price Index           |
|       1 | FP      | LOC    | Manitoba                                  |
|       1 | FP      | MISC   | Canadian West Coast                       |
|       1 | FP      | LOC    | Canadian West Coast                       |
|       1 | FP      | LOC    | West Coast                                |
|       1 | FP      | LOC    | East Coast                                |
|       1 | FP      | ORG    | Vancouver                                 |
|       1 | FP      | PER    | Rupert                                    |
|       1 | FP      | ORG    | Prince                                    |
|       1 | FP      | LOC    | 30,000                                    |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                        |
|       1 | FP      | ORG    | Danila                                    |
|       1 | FP      | ORG    | Lula I                                    |
|       1 | FP      | ORG    | Spetses                                   |
|       1 | FP      | ORG    | Mesipia                                   |
|       1 | FP      | ORG    | Camaras Arbitrales                        |
|       1 | FP      | ORG    | Buenos Aires Quequen Rosario Bahia Blanca |
|       1 | FP      | ORG    | Flint                                     |
|       1 | FP      | ORG    | Dent                                      |
|       1 | FP      | ORG    | Sunseeds                                  |
|       1 | FP      | MISC   | Est                                       |
|       1 | FP      | ORG    | Steer and Heifer Cow and Bull             |
|       1 | FP      | LOC    | CITY OF HARTFORD                          |
|       1 | FP      | LOC    | 4,000                                     |
|       1 | FP      | ORG    | Royal Clipper                             |
|       1 | FP      | ORG    | IMC TBN                                   |
|       1 | FP      | ORG    | Thai Commerce Ministry                    |
|       1 | FP      | LOC    | Iran                                      |
|       1 | FP      | MISC   | Sabr                                      |
|       1 | FP      | MISC   | Seagramd                                  |
|       1 | FP      | ORG    | Sangthai Glory                            |
|       1 | FP      | ORG    | Myos Yang                                 |
|       1 | FP      | ORG    | Budisuryana                               |
|       1 | FP      | ORG    | Shun                                      |
|       1 | FP      | MISC   | Tong                                      |
|       1 | FP      | MISC   | G                                         |
|       1 | FP      | MISC   | 1991 World Championships                  |
|       1 | FP      | MISC   | ALPINE                                    |
|       1 | FP      | MISC   | World Cup                                 |
|       1 | FP      | MISC   | Super G standings                         |
|       1 | FP      | LOC    | Italy                                     |
|       1 | FP      | LOC    | Canada                                    |
|       1 | FP      | MISC   | German                                    |
|       1 | FP      | LOC    | Switzerland                               |
|       1 | FP      | LOC    | Germany                                   |
|       1 | FP      | LOC    | Czech Republic                            |
|       1 | FP      | LOC    | Britain                                   |
|       1 | FP      | MISC   | CUP                                       |
|       1 | FP      | LOC    | TEMBAU                                    |
|       1 | FP      | LOC    | DENPASAR                                  |
|       1 | FP      | LOC    | BARBARIANS                                |
|       1 | FP      | ORG    | RUGBY UNION                               |
|       1 | FP      | ORG    | ISLANDERS                                 |
|       1 | FN      | MISC   | BRAZILIAN CHAMPIONSHIP                    |
|       1 | FN      | ORG    | ARAB CONTRACTORS                          |
|       1 | FN      | ORG    | NY RANGERS                                |
|       1 | FN      | ORG    | LA LAKERS                                 |
|       1 | FN      | MISC   | AMERICAN                                  |
|       1 | FN      | ORG    | NFL                                       |
|       1 | FN      | ORG    | 1. FC Cologne                             |
|       1 | FN      | PER    | Claude Makelele                           |
|       1 | FN      | PER    | Dundee                                    |
|       1 | FN      | LOC    | CAN                                       |
|       1 | FN      | LOC    | Vancouver                                 |
|       1 | FN      | LOC    | Prince Rupert                             |
|       1 | FN      | MISC   | Danila                                    |
|       1 | FN      | MISC   | Lula I                                    |
|       1 | FN      | LOC    | Spetses                                   |
|       1 | FN      | MISC   | Mesipia                                   |
|       1 | FN      | LOC    | Bahia Blanca                              |
|       1 | FN      | LOC    | Rosario                                   |
|       1 | FN      | LOC    | Quequen                                   |
|       1 | FN      | LOC    | Buenos Aires                              |
|       1 | FN      | LOC    | HARTFORD                                  |
|       1 | FN      | ORG    | GeePee                                    |
|       1 | FN      | MISC   | Royal Clipper                             |
|       1 | FN      | MISC   | TBN                                       |
|       1 | FN      | MISC   | IMC                                       |
|       1 | FN      | ORG    | Commerce Ministry                         |
|       1 | FN      | MISC   | Thai                                      |
|       1 | FN      | MISC   | Iran Sabr                                 |
|       1 | FN      | MISC   | Seagramd ace                              |
|       1 | FN      | MISC   | Sangthai Glory                            |
|       1 | FN      | MISC   | Myos Yang                                 |
|       1 | FN      | MISC   | Budisuryana                               |
|       1 | FN      | MISC   | Tong Shun                                 |
|       1 | FN      | MISC   | World Championships                       |
|       1 | FN      | MISC   | 1993 World Cup                            |
|       1 | FN      | MISC   | Super G                                   |
|       1 | FN      | ORG    | United States III                         |
|       1 | FN      | MISC   | Italy I                                   |
|       1 | FN      | MISC   | Canada I                                  |
|       1 | FN      | MISC   | German I                                  |
|       1 | FN      | ORG    | Switzerland I                             |
|       1 | FN      | MISC   | Germany III                               |
|       1 | FN      | MISC   | Czech Republic I                          |
|       1 | FN      | MISC   | Austria I                                 |
|       1 | FN      | ORG    | Britain I                                 |
|       1 | FN      | MISC   | Austria III                               |
|       1 | FN      | MISC   | United States I                           |
|       1 | FN      | MISC   | WORLD CUP                                 |
