| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       89.65 |    91.22 |  90.43 |        1025 |        1043 |       935 |
| LOC    |       94.34 |    92.91 |  93.62 |         395 |         389 |       367 |
| MISC   |       79.29 |    71.61 |  75.25 |         155 |         140 |       111 |
| ORG    |       87.14 |    95.73 |  91.23 |         375 |         412 |       359 |
| PER    |       96.08 |    98.00 |  97.03 |         100 |         102 |        98 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       3 | FP      | MISC   | Select                                    |
|       3 | FP      | ORG    | Chicago                                   |
|       3 | FN      | LOC    | Chicago                                   |
|       2 | FP      | MISC   | One Global Depository Receipt             |
|       2 | FP      | LOC    | Iowa-S Minn                               |
|       2 | FP      | LOC    | mid-Mississippi                           |
|       2 | FP      | ORG    | St. Louis                                 |
|       2 | FP      | ORG    | Toledo                                    |
|       2 | FP      | MISC   | Choice                                    |
|       2 | FP      | ORG    | Ministry                                  |
|       2 | FP      | ORG    | Busang                                    |
|       2 | FN      | MISC   | German                                    |
|       2 | FN      | ORG    | Zywiec                                    |
|       2 | FN      | LOC    | UK                                        |
|       2 | FN      | LOC    | Med                                       |
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       2 | FN      | MISC   | Iowa-S Minn                               |
|       2 | FN      | ORG    | NYMEX                                     |
|       2 | FN      | MISC   | Permian                                   |
|       2 | FN      | MISC   | mid-Mississippi                           |
|       2 | FN      | LOC    | St. Louis                                 |
|       2 | FN      | LOC    | Toledo                                    |
|       2 | FN      | MISC   | ACCESS                                    |
|       2 | FN      | LOC    | Busang                                    |
|       1 | FP      | MISC   | Polish Jews                               |
|       1 | FP      | MISC   | Nazi German                               |
|       1 | FP      | MISC   | INTERVIEW                                 |
|       1 | FP      | MISC   | CEFTA                                     |
|       1 | FP      | PER    | Zywiec                                    |
