| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       76.32 |    80.56 |  78.38 |         144 |         152 |       116 |
| LOC    |       86.76 |    86.76 |  86.76 |          68 |          68 |        59 |
| MISC   |       68.18 |    50.00 |  57.69 |          30 |          22 |        15 |
| ORG    |       68.33 |    91.11 |  78.10 |          45 |          60 |        41 |
| PER    |       50.00 |   100.00 |  66.67 |           1 |           2 |         1 |

|   Count | Error   | Type   | Tokens                                    |
|---------|---------|--------|-------------------------------------------|
|       2 | FN      | ORG    | Manitoba                                  |
|       2 | FN      | MISC   | Canadian                                  |
|       1 | FP      | MISC   | CST                                       |
|       1 | FP      | MISC   | Manitoba Government Price Index           |
|       1 | FP      | LOC    | Manitoba                                  |
|       1 | FP      | MISC   | Canadian West Coast                       |
|       1 | FP      | LOC    | Canadian West Coast                       |
|       1 | FP      | LOC    | West Coast                                |
|       1 | FP      | LOC    | East Coast                                |
|       1 | FP      | ORG    | Vancouver                                 |
|       1 | FP      | PER    | Rupert                                    |
|       1 | FP      | ORG    | Prince                                    |
|       1 | FP      | LOC    | 30,000                                    |
|       1 | FP      | LOC    | WESTERN HEMISPHERE                        |
|       1 | FP      | ORG    | Danila                                    |
|       1 | FP      | ORG    | Lula I                                    |
|       1 | FP      | ORG    | Spetses                                   |
|       1 | FP      | ORG    | Mesipia                                   |
|       1 | FP      | ORG    | Camaras Arbitrales                        |
|       1 | FP      | ORG    | Buenos Aires Quequen Rosario Bahia Blanca |
|       1 | FP      | ORG    | Flint                                     |
|       1 | FP      | ORG    | Dent                                      |
|       1 | FP      | ORG    | Sunseeds                                  |
|       1 | FP      | MISC   | Est                                       |
|       1 | FP      | ORG    | Steer and Heifer Cow and Bull             |
|       1 | FP      | LOC    | CITY OF HARTFORD                          |
|       1 | FP      | LOC    | 4,000                                     |
|       1 | FP      | ORG    | Royal Clipper                             |
|       1 | FP      | ORG    | IMC TBN                                   |
|       1 | FP      | ORG    | Thai Commerce Ministry                    |
|       1 | FP      | LOC    | Iran                                      |
|       1 | FP      | MISC   | Sabr                                      |
|       1 | FP      | MISC   | Seagramd                                  |
|       1 | FP      | ORG    | Sangthai Glory                            |
|       1 | FP      | ORG    | Myos Yang                                 |
|       1 | FP      | ORG    | Budisuryana                               |
|       1 | FP      | ORG    | Shun                                      |
|       1 | FP      | MISC   | Tong                                      |
|       1 | FN      | LOC    | CAN                                       |
|       1 | FN      | LOC    | Vancouver                                 |
|       1 | FN      | LOC    | Prince Rupert                             |
|       1 | FN      | MISC   | Danila                                    |
|       1 | FN      | MISC   | Lula I                                    |
|       1 | FN      | LOC    | Spetses                                   |
|       1 | FN      | MISC   | Mesipia                                   |
|       1 | FN      | LOC    | Buenos Aires                              |
|       1 | FN      | LOC    | Quequen                                   |
|       1 | FN      | LOC    | Rosario                                   |
|       1 | FN      | LOC    | Bahia Blanca                              |
|       1 | FN      | LOC    | HARTFORD                                  |
|       1 | FN      | ORG    | GeePee                                    |
|       1 | FN      | MISC   | Royal Clipper                             |
|       1 | FN      | MISC   | IMC                                       |
|       1 | FN      | MISC   | TBN                                       |
|       1 | FN      | ORG    | Commerce Ministry                         |
|       1 | FN      | MISC   | Thai                                      |
|       1 | FN      | MISC   | Iran Sabr                                 |
|       1 | FN      | MISC   | Seagramd ace                              |
|       1 | FN      | MISC   | Sangthai Glory                            |
|       1 | FN      | MISC   | Myos Yang                                 |
|       1 | FN      | MISC   | Budisuryana                               |
|       1 | FN      | MISC   | Tong Shun                                 |
