| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       72.58 |    80.36 |  76.27 |          56 |          62 |        45 |
| LOC    |       96.67 |    78.38 |  86.57 |          37 |          30 |        29 |
| MISC   |       37.50 |    60.00 |  46.15 |           5 |           8 |         3 |
| ORG    |       54.17 |    92.86 |  68.42 |          14 |          24 |        13 |

|   Count | Error   | Type   | Tokens            |
|---------|---------|--------|-------------------|
|       3 | FP      | MISC   | Select            |
|       3 | FP      | ORG    | Chicago           |
|       3 | FN      | LOC    | Chicago           |
|       2 | FP      | ORG    | St. Louis         |
|       2 | FP      | ORG    | Toledo            |
|       2 | FP      | MISC   | Choice            |
|       2 | FN      | LOC    | St. Louis         |
|       2 | FN      | LOC    | Toledo            |
|       1 | FP      | ORG    | Select and Choice |
|       1 | FP      | ORG    | Slaughter Heifers |
|       1 | FP      | LOC    | Iowa-S Minn       |
|       1 | FP      | ORG    | USDA              |
|       1 | FP      | ORG    | Minneapolis       |
|       1 | FN      | MISC   | Iowa-S Minn       |
|       1 | FN      | MISC   | USDA              |
|       1 | FN      | ORG    | CBOT              |
|       1 | FN      | LOC    | Minneapolis       |
