| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       98.09 |    98.09 |  98.09 |         523 |         523 |       513 |
| LOC    |       94.74 |    97.30 |  96.00 |         111 |         114 |       108 |
| MISC   |      100.00 |   100.00 | 100.00 |          62 |          62 |        62 |
| ORG    |       96.67 |    93.55 |  95.08 |          93 |          90 |        87 |
| PER    |       99.61 |    99.61 |  99.61 |         257 |         257 |       256 |

|   Count | Error   | Type   | Tokens     |
|---------|---------|--------|------------|
|       2 | FP      | LOC    | Victoria   |
|       2 | FP      | LOC    | Tasmania   |
|       2 | FN      | ORG    | Tasmania   |
|       2 | FN      | ORG    | Victoria   |
|       1 | FP      | LOC    | CAMPESE    |
|       1 | FP      | ORG    | Twickenham |
|       1 | FP      | ORG    | Pontypridd |
|       1 | FP      | ORG    | Leicester  |
|       1 | FP      | PER    | REUTER     |
|       1 | FP      | LOC    | Salamanca  |
|       1 | FN      | PER    | CAMPESE    |
|       1 | FN      | LOC    | Twickenham |
|       1 | FN      | LOC    | Pontypridd |
|       1 | FN      | LOC    | Leicester  |
|       1 | FN      | ORG    | REUTER     |
|       1 | FN      | ORG    | Salamanca  |
