| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       94.25 |    95.77 |  95.00 |         685 |         696 |       656 |
| LOC    |       91.75 |    98.89 |  95.19 |         180 |         194 |       178 |
| MISC   |       86.32 |    90.99 |  88.60 |         111 |         117 |       101 |
| ORG    |       94.62 |    89.13 |  91.79 |         138 |         130 |       123 |
| PER    |       99.61 |    99.22 |  99.41 |         256 |         255 |       254 |

|   Count | Error   | Type   | Tokens                          |
|---------|---------|--------|---------------------------------|
|       3 | FP      | LOC    | ALPINE                          |
|       2 | FP      | MISC   | World Cup                       |
|       2 | FP      | LOC    | Victoria                        |
|       2 | FN      | ORG    | Victoria                        |
|       1 | FP      | ORG    | Bitar                           |
|       1 | FP      | ORG    | Yorkshire                       |
|       1 | FP      | MISC   | AUSTRALIAN TOUR                 |
|       1 | FP      | MISC   | Tour                            |
|       1 | FP      | LOC    | Nebraska                        |
|       1 | FP      | LOC    | Santiago Bernabeu               |
|       1 | FP      | ORG    | Real Madrid-Barcelona           |
|       1 | FP      | MISC   | UNCAPPED                        |
|       1 | FP      | MISC   | Fair Play                       |
|       1 | FP      | ORG    | Mercedes                        |
|       1 | FP      | MISC   | WORLD CUP SUPER G               |
|       1 | FP      | MISC   | Super G                         |
|       1 | FP      | MISC   | THIRD                           |
|       1 | FP      | MISC   | LPGA Tours                      |
|       1 | FP      | MISC   | PGA                             |
|       1 | FP      | LOC    | Italy                           |
|       1 | FP      | LOC    | Canada                          |
|       1 | FP      | LOC    | USA I                           |
|       1 | FP      | ORG    | RUGBY UNION                     |
|       1 | FP      | LOC    | New South Wales                 |
|       1 | FP      | LOC    | Sunderland                      |
|       1 | FP      | LOC    | WALLABY                         |
|       1 | FP      | LOC    | Tasmania                        |
|       1 | FP      | PER    | RW                              |
|       1 | FP      | MISC   | NHL                             |
|       1 | FP      | MISC   | National Hockey League          |
|       1 | FP      | MISC   | International Boxing Federation |
|       1 | FP      | LOC    | BALKAN                          |
|       1 | FP      | LOC    | Balkan                          |
|       1 | FP      | ORG    | The                             |
|       1 | FP      | ORG    | Super Peasants                  |
|       1 | FP      | MISC   | European championship           |
|       1 | FP      | MISC   | 1988                            |
|       1 | FN      | PER    | Bitar                           |
|       1 | FN      | MISC   | 1995 World Cup                  |
|       1 | FN      | LOC    | Yorkshire                       |
|       1 | FN      | MISC   | AUSTRALIAN                      |
|       1 | FN      | ORG    | Nebraska                        |
|       1 | FN      | MISC   | Real Madrid-Barcelona           |
|       1 | FN      | LOC    | Santiago Bernabeu stadium       |
|       1 | FN      | MISC   | Mercedes                        |
|       1 | FN      | PER    | EYLES                           |
|       1 | FN      | MISC   | WORLD CUP                       |
|       1 | FN      | ORG    | PGA                             |
|       1 | FN      | ORG    | LPGA                            |
|       1 | FN      | MISC   | Italy I                         |
|       1 | FN      | ORG    | Canada I                        |
|       1 | FN      | ORG    | USA I                           |
|       1 | FN      | ORG    | New South Wales                 |
|       1 | FN      | ORG    | Sunderland                      |
|       1 | FN      | ORG    | WALLABY                         |
|       1 | FN      | ORG    | Tasmania                        |
|       1 | FN      | ORG    | NHL                             |
|       1 | FN      | ORG    | National Hockey League          |
|       1 | FN      | ORG    | International Boxing Federation |
|       1 | FN      | MISC   | BALKAN                          |
|       1 | FN      | MISC   | Balkan                          |
|       1 | FN      | ORG    | The Super Peasants              |
|       1 | FN      | MISC   | European                        |
|       1 | FN      | MISC   | 1966 World Cup                  |
