| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       95.27 |    95.94 |  95.61 |        2835 |        2855 |      2720 |
| LOC    |       95.94 |    98.14 |  97.03 |         914 |         935 |       897 |
| MISC   |       90.98 |    88.80 |  89.88 |         500 |         488 |       444 |
| ORG    |       93.86 |    95.19 |  94.52 |         707 |         717 |       673 |
| PER    |       98.74 |    98.88 |  98.81 |         714 |         715 |       706 |

|   Count | Error   | Type   | Tokens                                  |
|---------|---------|--------|-----------------------------------------|
|       3 | FP      | PER    | Pope                                    |
|       3 | FP      | MISC   | EST                                     |
|       3 | FP      | LOC    | ALPINE                                  |
|       2 | FP      | MISC   | World Cup                               |
|       2 | FP      | MISC   | One Global Depository Receipt           |
|       2 | FP      | LOC    | Jordan                                  |
|       2 | FP      | LOC    | mid-Mississippi                         |
|       2 | FP      | LOC    | NZ                                      |
|       2 | FP      | ORG    | First                                   |
|       2 | FP      | ORG    | Ministry                                |
|       2 | FP      | ORG    | Busang                                  |
|       2 | FP      | LOC    | Victoria                                |
|       2 | FN      | MISC   | German                                  |
|       2 | FN      | ORG    | Zywiec                                  |
|       2 | FN      | LOC    | UK                                      |
|       2 | FN      | LOC    | Med                                     |
|       2 | FN      | PER    | Jordan                                  |
|       2 | FN      | MISC   | Moslem                                  |
|       2 | FN      | ORG    | NYMEX                                   |
|       2 | FN      | MISC   | Permian                                 |
|       2 | FN      | MISC   | mid-Mississippi                         |
|       2 | FN      | MISC   | ACCESS                                  |
|       2 | FN      | ORG    | NZ First                                |
|       2 | FN      | LOC    | Busang                                  |
|       2 | FN      | ORG    | Victoria                                |
|       1 | FP      | ORG    | Bitar                                   |
|       1 | FP      | ORG    | Yorkshire                               |
|       1 | FP      | MISC   | AUSTRALIAN TOUR                         |
|       1 | FP      | MISC   | Tour                                    |
|       1 | FP      | LOC    | Nebraska                                |
|       1 | FP      | LOC    | Santiago Bernabeu                       |
|       1 | FP      | ORG    | Real Madrid-Barcelona                   |
|       1 | FP      | MISC   | UNCAPPED                                |
|       1 | FP      | MISC   | Fair Play                               |
|       1 | FP      | ORG    | Mercedes                                |
|       1 | FP      | ORG    | Democratic Convention                   |
|       1 | FP      | ORG    | Social Democrats                        |
|       1 | FP      | MISC   | Polish Jews                             |
|       1 | FP      | MISC   | Nazi German                             |
|       1 | FP      | MISC   | INTERVIEW                               |
|       1 | FP      | MISC   | CEFTA                                   |
|       1 | FP      | PER    | Zywiec                                  |
|       1 | FP      | MISC   | Zywiec Full Light                       |
|       1 | FP      | ORG    | UK Department of Transport              |
|       1 | FP      | ORG    | ADS                                     |
|       1 | FP      | LOC    | Heathrow                                |
|       1 | FP      | LOC    | London                                  |
|       1 | FP      | LOC    | London-to-Boston                        |
|       1 | FP      | MISC   | Mediterranean                           |
|       1 | FP      | ORG    | Genoa                                   |
|       1 | FP      | ORG    | Med                                     |
|       1 | FP      | ORG    | Conservatives                           |
|       1 | FP      | ORG    | NYC                                     |
