row_mod,text,conll#,text,asp_output,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated_issue,,,
2,SOCCER,O,SOCCER,O,SPORTS,HYBRID,Yes,,,,,,,,
3,-,O,-,O,SPORTS,HYBRID,Yes,,,,,,,,
4,ITALIAN,B-MISC,ITALIAN,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
5,FIRST,O,FIRST,O,SPORTS,HYBRID,Yes,,,,,,,,
6,DIVISION,O,DIVISION,O,SPORTS,HYBRID,Yes,,,,,,,,
7,MATCHES,O,MATCHES,O,SPORTS,HYBRID,Yes,,,,,,,,
8,THIS,O,THIS,O,SPORTS,HYBRID,Yes,,,,,,,,
9,WEEKEND,O,WEEKEND,O,SPORTS,HYBRID,Yes,,,,,,,,
10,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
11,ROME,B-LOC,ROME,B-LOC,SPORTS,HYBRID,Yes,,,,,,,,
12,1996-12-06,O,1996-12-06,O,SPORTS,HYBRID,Yes,,,,,,,,
13,Italian,B-MISC,Italian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
14,Serie,B-MISC,Serie,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
15,A,I-MISC,A,I-MISC,SPORTS,HYBRID,Yes,,,,,,,,
16,games,O,games,O,SPORTS,HYBRID,Yes,,,,,,,,
17,to,O,to,O,SPORTS,HYBRID,Yes,,,,,,,,
18,be,O,be,O,SPORTS,HYBRID,Yes,,,,,,,,
19,played,O,played,O,SPORTS,HYBRID,Yes,,,,,,,,
20,on,O,on,O,SPORTS,HYBRID,Yes,,,,,,,,
21,Sunday,O,Sunday,O,SPORTS,HYBRID,Yes,,,,,,,,
22,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
23,league,O,league,O,SPORTS,HYBRID,Yes,,,,,,,,
24,positions,O,positions,O,SPORTS,HYBRID,Yes,,,,,,,,
25,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
26,parentheses,O,parentheses,O,SPORTS,HYBRID,Yes,,,,,,,,
27,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
28,all,O,all,O,SPORTS,HYBRID,Yes,,,,,,,,
29,kick-,O,kick-,O,SPORTS,HYBRID,Yes,,,,,,,,
30,off,O,off,O,SPORTS,HYBRID,Yes,,,,,,,,
31,times,O,times,O,SPORTS,HYBRID,Yes,,,,,,,,
32,GMT,B-MISC,GMT,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
33,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
34,:,O,:,O,SPORTS,HYBRID,Yes,,,,,,,,
35,Bologna,B-ORG,Bologna,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
36,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
37,4,O,4,O,SPORTS,HYBRID,Yes,,,,,,,,
38,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
39,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
40,Piacenza,B-ORG,Piacenza,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
41,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
42,13,O,13,O,SPORTS,HYBRID,Yes,,,,,,,,
43,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
44,1330,O,1330,O,SPORTS,HYBRID,Yes,,,,,,,,
45,Along,O,Along,O,SPORTS,HYBRID,Yes,,,,,,,,
46,with,O,with,O,SPORTS,HYBRID,Yes,,,,,,,,
47,leaders,O,leaders,O,SPORTS,HYBRID,Yes,,,,,,,,
48,Vicenza,B-ORG,Vicenza,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
49,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
50,fourth-placed,O,fourth-placed,O,SPORTS,HYBRID,Yes,,,,,,,,
51,Bologna,B-ORG,Bologna,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
52,represent,O,represent,O,SPORTS,HYBRID,Yes,,,,,,,,
53,the,O,the,O,SPORTS,HYBRID,Yes,,,,,,,,
54,biggest,O,biggest,O,SPORTS,HYBRID,Yes,,,,,,,,
55,surprise,O,surprise,O,SPORTS,HYBRID,Yes,,,,,,,,
56,of,O,of,O,SPORTS,HYBRID,Yes,,,,,,,,
57,this,O,this,O,SPORTS,HYBRID,Yes,,,,,,,,
58,Italian,B-MISC,Italian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
59,autumn,O,autumn,O,SPORTS,HYBRID,Yes,,,,,,,,
60,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
61,Led,O,Led,O,SPORTS,HYBRID,Yes,,,,,,,,
62,as,O,as,O,SPORTS,HYBRID,Yes,,,,,,,,
63,usual,O,usual,O,SPORTS,HYBRID,Yes,,,,,,,,
64,by,O,by,O,SPORTS,HYBRID,Yes,,,,,,,,
65,Swede,B-MISC,Swede,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
66,Kennet,B-PER,Kennet,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
67,Andersson,I-PER,Andersson,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
68,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
69,Russian,B-MISC,Russian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
70,Igor,B-PER,Igor,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
71,Kolyvanov,I-PER,Kolyvanov,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
72,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
73,attack,O,attack,O,SPORTS,HYBRID,Yes,,,,,,,,
74,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
75,Bologna,B-ORG,Bologna,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
76,can,O,can,O,SPORTS,HYBRID,Yes,,,,,,,,
77,expect,O,expect,O,SPORTS,HYBRID,Yes,,,,,,,,
78,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
79,tough,O,tough,O,SPORTS,HYBRID,Yes,,,,,,,,
80,home,O,home,O,SPORTS,HYBRID,Yes,,,,,,,,
81,match,O,match,O,SPORTS,HYBRID,Yes,,,,,,,,
82,against,O,against,O,SPORTS,HYBRID,Yes,,,,,,,,
83,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
84,Piacenza,B-ORG,Piacenza,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
85,side,O,side,O,SPORTS,HYBRID,Yes,,,,,,,,
86,still,O,still,O,SPORTS,HYBRID,Yes,,,,,,,,
87,exultant,O,exultant,O,SPORTS,HYBRID,Yes,,,,,,,,
88,after,O,after,O,SPORTS,HYBRID,Yes,,,,,,,,
89,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
90,3-2,O,3-2,O,SPORTS,HYBRID,Yes,,,,,,,,
91,league,O,league,O,SPORTS,HYBRID,Yes,,,,,,,,
92,win,O,win,O,SPORTS,HYBRID,Yes,,,,,,,,
93,over,O,over,O,SPORTS,HYBRID,Yes,,,,,,,,
94,AC,B-ORG,AC,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
95,Milan,I-ORG,Milan,I-ORG,SPORTS,HYBRID,Yes,,,,,,,,
96,last,O,last,O,SPORTS,HYBRID,Yes,,,,,,,,
97,Sunday,O,Sunday,O,SPORTS,HYBRID,Yes,,,,,,,,
98,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
99,Cagliari,B-ORG,Cagliari,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
0,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
1,16,O,16,O,SPORTS,HYBRID,Yes,,,,,,,,
2,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
3,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
4,Reggiana,B-ORG,Reggiana,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
5,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
6,18,O,18,O,SPORTS,HYBRID,Yes,,,,,,,,
7,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
8,1530,O,1530,O,SPORTS,HYBRID,Yes,,,,,,,,
9,Cagliari,B-ORG,Cagliari,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
10,start,O,start,O,SPORTS,HYBRID,Yes,,,,,,,,
11,favourite,O,favourite,O,SPORTS,HYBRID,Yes,,,,,,,,
12,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
13,this,O,this,O,SPORTS,HYBRID,Yes,,,,,,,,
14,relegation,O,relegation,O,SPORTS,HYBRID,Yes,,,,,,,,
15,scrap,O,scrap,O,SPORTS,HYBRID,Yes,,,,,,,,
16,following,O,following,O,SPORTS,HYBRID,Yes,,,,,,,,
17,draws,O,draws,O,SPORTS,HYBRID,Yes,,,,,,,,
18,with,O,with,O,SPORTS,HYBRID,Yes,,,,,,,,
19,Napoli,B-ORG,Napoli,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
20,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
21,Inter,B-ORG,Inter,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
22,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
23,last,O,last,O,SPORTS,HYBRID,Yes,,,,,,,,
24,two,O,two,O,SPORTS,HYBRID,Yes,,,,,,,,
25,outings,O,outings,O,SPORTS,HYBRID,Yes,,,,,,,,
26,but,O,but,O,SPORTS,HYBRID,Yes,,,,,,,,
27,will,O,will,O,SPORTS,HYBRID,Yes,,,,,,,,
28,be,O,be,O,SPORTS,HYBRID,Yes,,,,,,,,
29,without,O,without,O,SPORTS,HYBRID,Yes,,,,,,,,
30,suspended,O,suspended,O,SPORTS,HYBRID,Yes,,,,,,,,
31,Swiss,B-MISC,Swiss,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
32,defender,O,defender,O,SPORTS,HYBRID,Yes,,,,,,,,
33,Ramon,B-PER,Ramon,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
34,Vega,I-PER,Vega,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
35,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
36,Bottom,O,Bottom,O,SPORTS,HYBRID,Yes,,,,,,,,
37,team,O,team,O,SPORTS,HYBRID,Yes,,,,,,,,
38,Reggiana,B-ORG,Reggiana,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
39,are,O,are,O,SPORTS,HYBRID,Yes,,,,,,,,
40,also,O,also,O,SPORTS,HYBRID,Yes,,,,,,,,
