row_mod,text,conll#,text,xlmr_outputs,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated issue,,,
2,-DOCSTART-,O,-DOCSTART-,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
3,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
4,SOCCER,O,SOCCER,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
5,-,O,-,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
6,JAPAN,B-LOC,JAPAN,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
7,GET,O,GET,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
8,LUCKY,O,LUCKY,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
9,WIN,O,WIN,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
10,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
11,CHINA,B-LOC,CHINA,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
12,IN,O,IN,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
13,SURPRISE,O,SURPRISE,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
14,DEFEAT,O,DEFEAT,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
15,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
16,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
17,Nadim,B-PER,Nadim,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
18,Ladki,I-PER,Ladki,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
19,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
20,AL-AIN,B-LOC,AL-AIN,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
21,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
22,United,B-LOC,United,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
23,Arab,I-LOC,Arab,I-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
24,Emirates,I-LOC,Emirates,I-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
25,1996-12-06,O,1996-12-06,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
26,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
27,Japan,B-LOC,Japan,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
28,began,O,began,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
29,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
30,defence,O,defence,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
31,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
32,their,O,their,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
33,Asian,B-MISC,Asian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
34,Cup,I-MISC,Cup,I-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
35,title,O,title,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
36,with,O,with,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
37,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
38,lucky,O,lucky,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
39,2-1,O,2-1,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
40,win,O,win,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
41,against,O,against,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
42,Syria,B-LOC,Syria,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
43,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
44,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
45,Group,O,Group,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
46,C,O,C,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
47,championship,O,championship,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
48,match,O,match,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
49,on,O,on,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
50,Friday,O,Friday,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
51,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
52,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
53,But,O,But,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
54,China,B-LOC,China,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
55,saw,O,saw,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
56,their,O,their,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
57,luck,O,luck,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
58,desert,O,desert,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
59,them,O,them,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
60,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
61,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
62,second,O,second,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
63,match,O,match,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
64,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
65,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
66,group,O,group,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
67,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
68,crashing,O,crashing,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
69,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
70,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
71,surprise,O,surprise,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
72,2-0,O,2-0,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
73,defeat,O,defeat,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
74,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
75,newcomers,O,newcomers,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
76,Uzbekistan,B-LOC,Uzbekistan,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
77,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
78,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
79,China,B-LOC,China,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
80,controlled,O,controlled,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
